phi_u	d_u	x_u	y_u	phi_v	d_v	x_v	y_v	phi_f	d_f	x_f	y_f
0.573	2.043	1.734	1.080	0.280	1.890	1.816	0.523	0.264	1.946	1.879	0.507
0.573	2.043	1.734	1.080	0.280	1.890	1.816	0.523	0.264	1.945	1.878	0.507
0.566	2.048	1.735	1.087	0.280	1.890	1.816	0.523	0.263	1.949	1.882	0.507
0.562	2.043	1.690	1.147	0.280	1.890	1.816	0.523	0.264	1.946	1.879	0.508
0.559	2.035	1.686	1.139	0.280	1.890	1.816	0.523	0.264	1.941	1.874	0.506
0.562	2.032	1.682	1.140	0.280	1.890	1.816	0.523	0.264	1.940	1.873	0.506
0.563	2.038	1.724	1.087	0.280	1.890	1.816	0.523	0.264	1.942	1.875	0.506
0.564	2.050	1.774	1.027	0.280	1.890	1.816	0.523	0.263	1.949	1.882	0.507
0.559	2.050	1.827	0.928	0.280	1.890	1.816	0.523	0.262	1.947	1.880	0.505
0.553	2.031	1.802	0.937	0.280	1.889	1.816	0.523	0.263	1.934	1.868	0.502
0.545	2.005	1.785	0.913	0.280	1.889	1.816	0.523	0.262	1.917	1.851	0.497
0.543	2.020	1.752	1.005	0.280	1.889	1.816	0.523	0.263	1.928	1.862	0.501
0.545	2.027	1.653	1.174	0.280	1.889	1.816	0.523	0.264	1.937	1.870	0.506
0.546	2.043	1.721	1.100	0.280	1.889	1.816	0.523	0.264	1.946	1.879	0.507
0.543	2.041	1.738	1.070	0.278	1.888	1.815	0.519	0.262	1.943	1.877	0.503
0.537	2.046	1.799	0.974	0.278	1.888	1.815	0.519	0.261	1.945	1.879	0.502
0.527	2.045	1.809	0.954	0.278	1.888	1.815	0.519	0.261	1.944	1.878	0.501
0.519	2.042	1.801	0.963	0.278	1.888	1.815	0.519	0.261	1.942	1.876	0.501
0.519	2.036	1.759	1.025	0.278	1.888	1.815	0.519	0.261	1.939	1.873	0.501
0.524	2.037	1.761	1.024	0.278	1.888	1.815	0.519	0.261	1.940	1.874	0.501
0.522	2.043	1.811	0.945	0.278	1.888	1.815	0.519	0.261	1.943	1.877	0.501
0.510	2.054	1.830	0.932	0.278	1.888	1.815	0.519	0.261	1.949	1.883	0.502
0.500	2.059	1.818	0.966	0.278	1.888	1.815	0.519	0.261	1.953	1.887	0.504
0.493	2.051	1.779	1.020	0.278	1.888	1.815	0.519	0.261	1.949	1.883	0.503
0.499	2.052	1.711	1.132	0.278	1.888	1.815	0.519	0.262	1.951	1.885	0.505
0.512	2.058	1.696	1.164	0.278	1.888	1.815	0.519	0.262	1.956	1.889	0.507
0.524	2.058	1.709	1.146	0.278	1.888	1.815	0.519	0.262	1.957	1.890	0.507
0.534	2.059	1.686	1.181	0.278	1.888	1.815	0.519	0.262	1.958	1.891	0.507
0.539	2.046	1.793	0.985	0.278	1.888	1.815	0.519	0.262	1.947	1.881	0.504
0.538	2.040	1.802	0.956	0.278	1.888	1.815	0.519	0.261	1.941	1.875	0.500
0.535	2.051	1.874	0.833	0.278	1.887	1.815	0.519	0.260	1.945	1.880	0.500
0.534	2.060	1.812	0.979	0.278	1.887	1.815	0.519	0.261	1.954	1.888	0.504
0.538	2.059	1.709	1.147	0.278	1.887	1.815	0.519	0.262	1.957	1.890	0.507
0.541	2.059	1.679	1.190	0.278	1.887	1.815	0.519	0.262	1.958	1.891	0.507
0.544	2.039	1.643	1.208	0.278	1.887	1.815	0.519	0.263	1.946	1.879	0.505
0.546	2.038	1.667	1.172	0.278	1.887	1.815	0.519	0.262	1.943	1.877	0.504
0.543	2.036	1.734	1.068	0.278	1.887	1.814	0.519	0.262	1.940	1.874	0.502
0.541	2.038	1.720	1.093	0.278	1.887	1.814	0.519	0.261	1.942	1.876	0.502
0.545	2.050	1.725	1.108	0.278	1.887	1.814	0.519	0.262	1.951	1.884	0.505
0.564	2.042	1.771	1.016	0.278	1.887	1.814	0.519	0.261	1.943	1.877	0.502
0.572	2.038	1.788	0.978	0.278	1.887	1.814	0.519	0.261	1.940	1.874	0.500
0.568	2.032	1.772	0.994	0.278	1.887	1.814	0.519	0.261	1.936	1.870	0.500
0.559	2.022	1.780	0.959	0.278	1.887	1.814	0.519	0.261	1.928	1.863	0.497
0.549	2.020	1.762	0.988	0.278	1.887	1.814	0.519	0.261	1.927	1.862	0.498
0.540	2.016	1.723	1.046	0.278	1.887	1.814	0.519	0.262	1.926	1.860	0.498
0.541	2.021	1.694	1.102	0.278	1.887	1.814	0.519	0.262	1.931	1.865	0.500
0.548	2.025	1.604	1.236	0.278	1.887	1.814	0.519	0.263	1.936	1.870	0.503
