phi_u	d_u	x_u	y_u	phi_v	d_v	x_v	y_v	phi_f	d_f	x_f	y_f
0.672	1.878	1.562	1.043	0.610	2.031	1.664	1.164	0.571	1.874	1.577	1.013
0.658	1.884	1.561	1.054	0.610	2.031	1.664	1.164	0.571	1.878	1.580	1.015
0.647	1.877	1.537	1.076	0.610	2.031	1.664	1.164	0.571	1.873	1.576	1.013
0.646	1.875	1.430	1.213	0.610	2.031	1.664	1.164	0.572	1.877	1.578	1.016
0.651	1.882	1.443	1.207	0.610	2.031	1.664	1.164	0.572	1.880	1.581	1.018
0.654	1.884	1.413	1.245	0.610	2.031	1.664	1.164	0.572	1.883	1.583	1.020
0.657	1.881	1.399	1.257	0.610	2.031	1.664	1.164	0.573	1.882	1.582	1.020
0.655	1.876	1.501	1.126	0.610	2.031	1.664	1.164	0.571	1.875	1.577	1.014
0.654	1.869	1.517	1.092	0.610	2.031	1.664	1.164	0.572	1.869	1.572	1.011
0.655	1.885	1.505	1.134	0.610	2.031	1.664	1.164	0.572	1.880	1.581	1.017
0.679	1.886	1.397	1.266	0.610	2.031	1.664	1.164	0.572	1.886	1.586	1.021
0.679	1.886	1.397	1.266	0.610	2.031	1.664	1.164	0.573	1.885	1.584	1.021
0.679	1.884	1.524	1.107	0.610	2.031	1.664	1.164	0.571	1.879	1.581	1.016
0.656	1.882	1.559	1.053	0.610	2.031	1.664	1.164	0.571	1.877	1.579	1.014
0.649	1.876	1.472	1.163	0.611	2.021	1.655	1.160	0.573	1.873	1.574	1.015
0.656	1.873	1.346	1.302	0.611	2.021	1.655	1.160	0.574	1.875	1.575	1.018
0.671	1.872	1.356	1.291	0.611	2.021	1.655	1.160	0.574	1.874	1.574	1.017
0.687	1.881	1.414	1.241	0.610	2.018	1.654	1.156	0.572	1.878	1.579	1.016
0.696	1.881	1.421	1.233	0.610	2.018	1.654	1.156	0.572	1.877	1.578	1.016
0.692	1.880	1.502	1.129	0.611	1.997	1.636	1.146	0.572	1.866	1.569	1.010
0.684	1.879	1.529	1.092	0.611	1.997	1.636	1.146	0.571	1.865	1.569	1.008
0.681	1.881	1.469	1.174	0.611	1.997	1.636	1.146	0.572	1.868	1.571	1.011
0.691	1.871	1.428	1.208	0.611	1.997	1.636	1.146	0.572	1.863	1.566	1.009
0.714	1.875	1.354	1.296	0.613	1.978	1.618	1.138	0.574	1.861	1.563	1.011
0.711	1.884	1.423	1.235	0.613	1.978	1.618	1.138	0.574	1.866	1.567	1.014
0.702	1.886	1.446	1.211	0.613	1.978	1.618	1.138	0.574	1.867	1.568	1.014
0.666	1.889	1.585	1.028	0.613	1.978	1.618	1.138	0.573	1.866	1.568	1.012
0.666	1.889	1.585	1.028	0.613	1.978	1.618	1.138	0.573	1.863	1.566	1.010
0.658	1.893	1.595	1.019	0.613	1.978	1.618	1.138	0.573	1.866	1.568	1.011
0.655	1.884	1.510	1.127	0.613	1.978	1.618	1.138	0.574	1.863	1.565	1.011
0.651	1.872	1.445	1.189	0.613	1.978	1.618	1.138	0.574	1.856	1.559	1.008
0.647	1.860	1.426	1.194	0.613	1.978	1.618	1.138	0.574	1.849	1.553	1.004
0.642	1.859	1.476	1.130	0.613	1.978	1.618	1.138	0.574	1.847	1.551	1.002
0.636	1.873	1.510	1.108	0.613	1.978	1.618	1.138	0.573	1.855	1.559	1.006
0.633	1.867	1.447	1.179	0.613	1.978	1.618	1.138	0.574	1.853	1.556	1.006
0.645	1.864	1.471	1.144	0.613	1.978	1.618	1.138	0.574	1.850	1.554	1.004
0.655	1.870	1.478	1.145	0.613	1.978	1.618	1.138	0.574	1.854	1.557	1.006
0.665	1.888	1.474	1.180	0.613	1.978	1.618	1.138	0.574	1.867	1.568	1.013
0.670	1.897	1.521	1.133	0.612	1.975	1.616	1.135	0.572	1.870	1.572	1.013
0.670	1.881	1.487	1.152	0.612	1.975	1.616	1.135	0.572	1.861	1.564	1.008
0.670	1.876	1.484	1.147	0.613	1.967	1.609	1.131	0.573	1.854	1.558	1.005
0.672	1.868	1.407	1.229	0.613	1.967	1.609	1.131	0.573	1.852	1.556	1.005
0.692	1.858	1.350	1.275	0.615	1.960	1.601	1.131	0.576	1.850	1.552	1.007
0.692	1.858	1.350	1.275	0.615	1.960	1.601	1.131	0.576	1.844	1.547	1.004
0.699	1.864	1.388	1.245	0.614	1.957	1.600	1.128	0.574	1.848	1.551	1.004
0.702	1.876	1.519	1.101	0.614	1.957	1.600	1.128	0.574	1.850	1.554	1.004
0.696	1.882	1.541	1.080	0.614	1.957	1.600	1.128	0.573	1.853	1.557	1.005
0.690	1.881	1.540	1.079	0.614	1.957	1.600	1.128	0.573	1.853	1.557	1.005
0.688	1.877	1.492	1.138	0.614	1.957	1.600	1.128	0.574	1.851	1.555	1.005
0.688	1.868	1.429	1.203	0.614	1.957	1.600	1.128	0.574	1.848	1.552	1.004
0.686	1.866	1.476	1.141	0.614	1.957	1.600	1.128	0.574	1.844	1.549	1.001
0.677	1.865	1.450	1.173	0.614	1.957	1.600	1.128	0.574	1.846	1.550	1.002
0.669	1.859	1.449	1.165	0.614	1.957	1.600	1.128	0.574	1.841	1.546	0.999
0.664	1.847	1.450	1.145	0.614	1.957	1.600	1.128	0.574	1.833	1.539	0.995
0.655	1.857	1.506	1.086	0.614	1.957	1.600	1.128	0.573	1.837	1.543	0.996
0.651	1.867	1.511	1.096	0.614	1.957	1.600	1.128	0.573	1.844	1.549	1.000
0.652	1.866	1.517	1.086	0.614	1.957	1.600	1.128	0.574	1.843	1.548	1.000
0.656	1.867	1.477	1.142	0.614	1.957	1.600	1.128	0.573	1.845	1.550	1.001
0.650	1.871	1.527	1.080	0.614	1.957	1.600	1.128	0.573	1.846	1.551	1.001
0.644	1.871	1.565	1.025	0.614	1.957	1.600	1.128	0.573	1.845	1.550	1.000
0.638	1.872	1.504	1.115	0.614	1.957	1.600	1.128	0.573	1.849	1.553	1.003
0.633	1.870	1.479	1.144	0.614	1.957	1.600	1.128	0.574	1.848	1.552	1.003
0.632	1.869	1.475	1.147	0.614	1.957	1.600	1.128	0.574	1.847	1.551	1.002
0.635	1.858	1.415	1.204	0.613	1.955	1.599	1.125	0.573	1.841	1.547	0.998
0.638	1.858	1.481	1.121	0.614	1.935	1.582	1.114	0.573	1.832	1.539	0.993
0.638	1.867	1.537	1.060	0.614	1.935	1.582	1.114	0.572	1.835	1.543	0.994
0.629	1.867	1.605	0.954	0.614	1.915	1.565	1.104	0.572	1.827	1.536	0.989
0.616	1.883	1.553	1.064	0.614	1.915	1.565	1.104	0.572	1.840	1.547	0.997
0.617	1.884	1.503	1.137	0.614	1.915	1.565	1.104	0.573	1.844	1.549	1.000
0.624	1.886	1.465	1.187	0.614	1.915	1.565	1.104	0.574	1.846	1.550	1.002
0.629	1.879	1.466	1.176	0.614	1.915	1.565	1.104	0.573	1.842	1.547	0.999
0.633	1.865	1.439	1.186	0.614	1.915	1.565	1.104	0.573	1.832	1.539	0.994
0.637	1.863	1.342	1.292	0.614	1.915	1.565	1.104	0.575	1.835	1.540	0.997
0.645	1.869	1.421	1.214	0.614	1.915	1.565	1.104	0.574	1.835	1.541	0.997
0.656	1.879	1.452	1.191	0.614	1.915	1.565	1.104	0.574	1.841	1.546	0.999
0.667	1.885	1.472	1.178	0.614	1.915	1.565	1.104	0.573	1.845	1.550	1.001
0.674	1.880	1.585	1.010	0.614	1.915	1.565	1.104	0.572	1.837	1.544	0.995
0.676	1.883	1.516	1.117	0.614	1.915	1.565	1.104	0.573	1.842	1.548	0.999
0.678	1.871	1.461	1.168	0.614	1.915	1.565	1.104	0.574	1.835	1.541	0.996
0.680	1.847	1.337	1.275	0.615	1.907	1.557	1.101	0.575	1.821	1.528	0.991
0.682	1.847	1.376	1.232	0.615	1.896	1.548	1.094	0.575	1.816	1.524	0.987
0.683	1.847	1.356	1.254	0.615	1.896	1.548	1.094	0.575	1.816	1.524	0.987
0.683	1.858	1.357	1.269	0.615	1.896	1.548	1.094	0.575	1.824	1.531	0.992
0.685	1.852	1.374	1.241	0.615	1.896	1.548	1.094	0.574	1.819	1.527	0.988
0.689	1.859	1.420	1.199	0.615	1.896	1.548	1.094	0.574	1.822	1.530	0.989
0.694	1.868	1.493	1.123	0.615	1.896	1.548	1.094	0.574	1.826	1.534	0.991
0.698	1.875	1.475	1.156	0.615	1.896	1.548	1.094	0.574	1.831	1.538	0.994
0.698	1.869	1.486	1.133	0.615	1.896	1.548	1.094	0.574	1.826	1.534	0.991
0.696	1.871	1.464	1.164	0.615	1.896	1.548	1.094	0.574	1.829	1.536	0.993
