phi_u	d_u	x_u	y_u	phi_v	d_v	x_v	y_v	phi_f	d_f	x_f	y_f
-0.048	2.014	2.012	-0.092	-0.222	1.768	1.725	-0.389	-0.203	1.877	1.838	-0.379
-0.048	2.002	1.997	-0.137	-0.221	1.781	1.738	-0.391	-0.203	1.873	1.835	-0.377
-0.054	1.993	1.982	-0.202	-0.217	1.817	1.774	-0.391	-0.199	1.878	1.841	-0.372
-0.074	1.994	1.967	-0.328	-0.217	1.817	1.774	-0.391	-0.200	1.881	1.844	-0.373
-0.081	1.988	1.968	-0.283	-0.217	1.817	1.774	-0.391	-0.200	1.875	1.838	-0.373
-0.089	1.979	1.961	-0.267	-0.217	1.817	1.774	-0.391	-0.200	1.869	1.832	-0.371
-0.102	1.984	1.981	-0.102	-0.217	1.817	1.774	-0.391	-0.199	1.868	1.831	-0.370
-0.102	1.984	1.981	-0.102	-0.217	1.817	1.774	-0.391	-0.199	1.872	1.835	-0.370
-0.104	1.981	1.978	-0.102	-0.217	1.817	1.774	-0.391	-0.199	1.870	1.833	-0.370
-0.104	1.993	1.987	-0.156	-0.217	1.817	1.774	-0.391	-0.199	1.878	1.841	-0.372
-0.107	2.007	1.991	-0.257	-0.217	1.817	1.774	-0.391	-0.199	1.886	1.849	-0.373
-0.107	2.007	1.991	-0.257	-0.217	1.817	1.774	-0.391	-0.200	1.889	1.851	-0.375
-0.105	2.009	1.995	-0.233	-0.217	1.817	1.774	-0.391	-0.200	1.890	1.852	-0.375
-0.095	1.998	1.998	-0.051	-0.217	1.817	1.774	-0.391	-0.198	1.882	1.845	-0.371
-0.081	1.992	1.991	0.072	-0.217	1.817	1.774	-0.391	-0.198	1.878	1.841	-0.369
-0.055	1.987	1.987	0.016	-0.217	1.817	1.774	-0.391	-0.198	1.874	1.837	-0.369
-0.046	1.987	1.986	-0.038	-0.217	1.817	1.774	-0.391	-0.199	1.874	1.837	-0.370
-0.044	1.986	1.985	-0.062	-0.217	1.817	1.774	-0.391	-0.199	1.874	1.837	-0.370
-0.039	1.994	1.993	-0.082	-0.217	1.817	1.774	-0.391	-0.199	1.879	1.842	-0.371
-0.030	1.992	1.989	-0.105	-0.214	1.841	1.799	-0.391	-0.196	1.885	1.849	-0.368
-0.025	1.989	1.985	-0.133	-0.214	1.841	1.799	-0.391	-0.197	1.883	1.847	-0.368
-0.025	1.989	1.985	-0.132	-0.214	1.841	1.799	-0.391	-0.197	1.884	1.848	-0.368
-0.032	1.989	1.984	-0.140	-0.214	1.841	1.799	-0.391	-0.197	1.883	1.847	-0.368
-0.041	1.986	1.983	-0.114	-0.214	1.842	1.800	-0.391	-0.196	1.882	1.846	-0.367
-0.048	1.985	1.978	-0.168	-0.214	1.842	1.800	-0.391	-0.197	1.881	1.845	-0.368
-0.051	1.977	1.976	-0.069	-0.216	1.843	1.800	-0.395	-0.199	1.876	1.839	-0.370
-0.055	1.962	1.959	-0.095	-0.216	1.843	1.800	-0.395	-0.199	1.865	1.828	-0.368
-0.055	1.958	1.954	-0.118	-0.216	1.843	1.800	-0.395	-0.198	1.863	1.826	-0.367
-0.059	1.970	1.967	-0.115	-0.216	1.843	1.800	-0.395	-0.199	1.871	1.834	-0.369
-0.061	1.980	1.975	-0.145	-0.216	1.843	1.800	-0.395	-0.199	1.878	1.841	-0.371
-0.060	1.988	1.987	-0.063	-0.216	1.843	1.800	-0.395	-0.198	1.883	1.846	-0.371
-0.056	1.975	1.974	-0.040	-0.216	1.843	1.800	-0.395	-0.198	1.874	1.837	-0.369
-0.050	1.980	1.980	-0.048	-0.216	1.843	1.800	-0.395	-0.198	1.878	1.841	-0.370
-0.045	1.983	1.983	-0.008	-0.216	1.843	1.800	-0.395	-0.198	1.880	1.843	-0.370
-0.043	1.989	1.988	-0.072	-0.216	1.843	1.800	-0.395	-0.198	1.884	1.847	-0.371
-0.043	1.984	1.982	-0.102	-0.216	1.843	1.800	-0.395	-0.199	1.881	1.844	-0.371
-0.045	1.981	1.976	-0.129	-0.216	1.843	1.800	-0.395	-0.199	1.878	1.841	-0.371
-0.049	1.974	1.970	-0.127	-0.216	1.843	1.800	-0.395	-0.199	1.874	1.837	-0.370
-0.052	1.979	1.969	-0.198	-0.216	1.843	1.800	-0.395	-0.199	1.877	1.840	-0.371
-0.057	1.981	1.971	-0.192	-0.216	1.843	1.800	-0.395	-0.199	1.878	1.841	-0.371
-0.064	1.977	1.971	-0.156	-0.216	1.843	1.800	-0.395	-0.199	1.876	1.839	-0.370
-0.070	1.977	1.967	-0.200	-0.218	1.843	1.800	-0.399	-0.201	1.877	1.839	-0.375
-0.076	1.976	1.972	-0.124	-0.218	1.843	1.800	-0.399	-0.201	1.876	1.838	-0.374
-0.077	1.988	1.987	-0.054	-0.218	1.843	1.800	-0.399	-0.200	1.884	1.846	-0.374
-0.074	1.994	1.994	-0.006	-0.218	1.843	1.800	-0.399	-0.200	1.888	1.850	-0.375
-0.067	1.988	1.988	-0.002	-0.216	1.843	1.800	-0.395	-0.198	1.883	1.846	-0.370
-0.058	1.980	1.980	-0.012	-0.216	1.843	1.800	-0.395	-0.198	1.878	1.841	-0.369
-0.049	1.977	1.977	0.029	-0.216	1.843	1.800	-0.395	-0.198	1.876	1.839	-0.369
-0.030	1.972	1.972	0.027	-0.216	1.843	1.800	-0.395	-0.198	1.873	1.836	-0.368
-0.013	1.981	1.981	-0.007	-0.216	1.843	1.800	-0.395	-0.198	1.873	1.836	-0.368
-0.005	1.991	1.989	-0.068	-0.216	1.843	1.800	-0.395	-0.198	1.879	1.842	-0.369
-0.005	1.991	1.989	-0.068	-0.216	1.843	1.800	-0.395	-0.198	1.885	1.848	-0.371
-0.007	1.992	1.991	-0.073	-0.216	1.843	1.800	-0.395	-0.199	1.886	1.849	-0.372
-0.010	1.986	1.985	-0.022	-0.216	1.843	1.800	-0.395	-0.198	1.881	1.844	-0.370
-0.006	1.990	1.990	0.004	-0.216	1.843	1.800	-0.395	-0.198	1.888	1.851	-0.371
-0.006	1.990	1.990	0.004	-0.216	1.843	1.800	-0.395	-0.198	1.885	1.848	-0.370
-0.009	1.995	1.995	-0.040	-0.216	1.843	1.800	-0.395	-0.198	1.888	1.851	-0.372
-0.013	2.001	2.000	-0.054	-0.216	1.843	1.800	-0.395	-0.198	1.892	1.855	-0.373
-0.016	1.999	1.998	-0.061	-0.216	1.843	1.800	-0.395	-0.198	1.891	1.854	-0.372
-0.015	1.988	1.987	-0.066	-0.216	1.843	1.800	-0.395	-0.198	1.883	1.846	-0.371
-0.013	1.982	1.982	0.001	-0.216	1.843	1.800	-0.395	-0.198	1.879	1.842	-0.369
-0.010	1.978	1.977	-0.016	-0.218	1.843	1.800	-0.399	-0.200	1.876	1.839	-0.373
-0.011	1.975	1.975	-0.013	-0.218	1.843	1.800	-0.399	-0.200	1.874	1.837	-0.372
-0.015	1.985	1.984	-0.051	-0.218	1.843	1.800	-0.399	-0.200	1.882	1.844	-0.374
-0.018	1.977	1.977	-0.015	-0.219	1.843	1.799	-0.400	-0.200	1.876	1.839	-0.373
-0.016	1.983	1.982	0.036	-0.219	1.843	1.799	-0.400	-0.200	1.879	1.842	-0.373
-0.012	1.983	1.982	0.028	-0.219	1.843	1.799	-0.400	-0.200	1.879	1.842	-0.373
-0.001	1.978	1.977	0.075	-0.219	1.843	1.799	-0.400	-0.200	1.879	1.842	-0.373
0.004	1.976	1.974	0.084	-0.219	1.843	1.799	-0.400	-0.200	1.875	1.838	-0.372
0.007	1.979	1.978	0.041	-0.219	1.843	1.799	-0.400	-0.199	1.877	1.840	-0.372
0.007	1.978	1.978	0.002	-0.219	1.843	1.799	-0.400	-0.200	1.876	1.839	-0.373
0.005	1.974	1.972	-0.071	-0.219	1.843	1.799	-0.400	-0.200	1.874	1.836	-0.373
-0.001	1.977	1.975	-0.086	-0.219	1.843	1.799	-0.400	-0.201	1.875	1.837	-0.374
-0.001	1.977	1.975	-0.086	-0.219	1.843	1.799	-0.400	-0.201	1.876	1.838	-0.374
-0.006	1.990	1.989	-0.054	-0.219	1.843	1.799	-0.400	-0.200	1.885	1.847	-0.375
-0.008	1.985	1.985	0.000	-0.219	1.843	1.799	-0.400	-0.200	1.882	1.844	-0.374
-0.010	1.986	1.986	0.021	-0.219	1.843	1.799	-0.400	-0.200	1.883	1.845	-0.374
-0.013	1.983	1.983	-0.053	-0.219	1.843	1.799	-0.400	-0.200	1.881	1.843	-0.374
-0.019	1.976	1.974	-0.090	-0.219	1.843	1.799	-0.400	-0.201	1.876	1.838	-0.374
-0.025	1.977	1.976	-0.062	-0.219	1.843	1.799	-0.400	-0.200	1.875	1.838	-0.373
-0.035	1.983	1.978	-0.138	-0.219	1.843	1.799	-0.400	-0.201	1.880	1.842	-0.375
-0.034	1.983	1.981	-0.085	-0.219	1.843	1.799	-0.400	-0.200	1.880	1.842	-0.374
-0.033	1.983	1.981	-0.090	-0.219	1.843	1.799	-0.400	-0.200	1.880	1.842	-0.374
-0.031	1.988	1.988	-0.021	-0.219	1.843	1.799	-0.400	-0.200	1.884	1.846	-0.374
-0.031	1.978	1.978	0.020	-0.219	1.843	1.800	-0.400	-0.200	1.876	1.839	-0.373
-0.030	1.972	1.972	0.020	-0.219	1.843	1.800	-0.400	-0.200	1.872	1.835	-0.372
-0.026	1.959	1.959	0.025	-0.219	1.843	1.800	-0.400	-0.200	1.864	1.827	-0.370
-0.023	1.973	1.971	-0.070	-0.219	1.843	1.799	-0.400	-0.201	1.866	1.829	-0.372
-0.023	1.973	1.971	-0.070	-0.219	1.843	1.799	-0.400	-0.201	1.873	1.835	-0.373
-0.020	1.978	1.977	-0.055	-0.219	1.843	1.799	-0.400	-0.200	1.876	1.839	-0.373
-0.008	1.975	1.975	0.005	-0.219	1.843	1.799	-0.400	-0.200	1.874	1.837	-0.372
-0.001	1.975	1.975	0.044	-0.219	1.843	1.799	-0.400	-0.200	1.875	1.838	-0.372
0.002	1.984	1.982	0.085	-0.219	1.843	1.799	-0.400	-0.200	1.880	1.843	-0.373
0.005	1.978	1.976	0.074	-0.219	1.843	1.799	-0.400	-0.200	1.876	1.839	-0.372
0.008	1.986	1.985	0.076	-0.219	1.843	1.799	-0.400	-0.199	1.882	1.845	-0.373
0.007	1.986	1.986	0.003	-0.219	1.843	1.799	-0.400	-0.200	1.882	1.844	-0.374
0.007	1.990	1.990	-0.054	-0.219	1.843	1.799	-0.400	-0.200	1.885	1.847	-0.375
0.006	1.994	1.993	-0.067	-0.219	1.843	1.799	-0.400	-0.201	1.888	1.850	-0.376
0.007	1.987	1.986	-0.029	-0.219	1.843	1.799	-0.400	-0.200	1.883	1.845	-0.374
0.009	1.976	1.976	0.020	-0.219	1.843	1.799	-0.400	-0.200	1.875	1.838	-0.372
0.011	1.984	1.984	0.020	-0.219	1.843	1.799	-0.400	-0.200	1.875	1.838	-0.372
0.010	1.992	1.992	-0.002	-0.219	1.843	1.799	-0.400	-0.200	1.886	1.848	-0.375
0.005	1.989	1.988	-0.076	-0.219	1.843	1.799	-0.400	-0.200	1.885	1.847	-0.375
-0.003	1.984	1.980	-0.118	-0.219	1.843	1.799	-0.400	-0.201	1.881	1.843	-0.375
-0.010	1.977	1.974	-0.106	-0.219	1.843	1.800	-0.400	-0.201	1.876	1.838	-0.374
-0.013	1.979	1.978	-0.053	-0.219	1.843	1.800	-0.400	-0.201	1.878	1.840	-0.374
-0.009	1.986	1.985	0.008	-0.220	1.844	1.800	-0.402	-0.200	1.882	1.844	-0.374
-0.006	1.989	1.989	-0.012	-0.220	1.844	1.800	-0.402	-0.201	1.884	1.846	-0.377
-0.012	1.989	1.987	-0.076	-0.221	1.845	1.800	-0.405	-0.203	1.884	1.845	-0.380
-0.022	1.990	1.982	-0.184	-0.221	1.845	1.800	-0.405	-0.204	1.886	1.847	-0.382
-0.032	1.992	1.985	-0.162	-0.222	1.845	1.800	-0.406	-0.204	1.886	1.847	-0.383
-0.046	1.997	1.993	-0.126	-0.222	1.845	1.800	-0.406	-0.204	1.890	1.851	-0.383
-0.043	1.981	1.980	0.033	-0.222	1.845	1.800	-0.406	-0.203	1.879	1.840	-0.379
-0.033	1.964	1.960	0.120	-0.222	1.845	1.800	-0.406	-0.203	1.867	1.829	-0.376
-0.021	1.969	1.961	0.178	-0.222	1.845	1.800	-0.406	-0.202	1.871	1.833	-0.376
-0.014	1.982	1.979	0.104	-0.222	1.845	1.800	-0.406	-0.203	1.879	1.841	-0.378
-0.015	1.986	1.986	-0.043	-0.222	1.845	1.800	-0.406	-0.204	1.883	1.844	-0.381
-0.014	1.977	1.976	-0.038	-0.222	1.845	1.800	-0.406	-0.203	1.876	1.837	-0.379
-0.009	1.970	1.969	-0.065	-0.222	1.845	1.800	-0.406	-0.204	1.872	1.833	-0.379
-0.003	1.979	1.979	-0.010	-0.222	1.845	1.800	-0.406	-0.203	1.878	1.839	-0.379
0.005	1.987	1.985	0.088	-0.222	1.845	1.800	-0.406	-0.203	1.884	1.845	-0.379
0.014	1.996	1.995	0.046	-0.222	1.845	1.800	-0.406	-0.203	1.889	1.850	-0.381
0.020	1.991	1.989	0.088	-0.222	1.845	1.800	-0.406	-0.203	1.886	1.847	-0.380
0.016	1.975	1.973	0.089	-0.222	1.845	1.800	-0.406	-0.203	1.875	1.837	-0.378
0.014	1.977	1.975	0.067	-0.222	1.845	1.800	-0.406	-0.203	1.875	1.837	-0.378
0.015	1.981	1.981	0.017	-0.222	1.845	1.800	-0.406	-0.203	1.880	1.841	-0.379
0.018	1.985	1.985	0.025	-0.222	1.845	1.800	-0.406	-0.203	1.882	1.843	-0.380
0.022	1.985	1.983	0.077	-0.222	1.845	1.800	-0.406	-0.203	1.882	1.843	-0.379
0.029	1.991	1.984	0.162	-0.222	1.845	1.800	-0.406	-0.202	1.885	1.847	-0.379
0.037	1.989	1.975	0.237	-0.222	1.845	1.800	-0.406	-0.202	1.885	1.847	-0.378
0.044	1.979	1.969	0.198	-0.222	1.845	1.800	-0.406	-0.202	1.878	1.840	-0.377
0.049	1.980	1.972	0.183	-0.220	1.856	1.811	-0.406	-0.201	1.883	1.845	-0.375
0.052	1.984	1.983	0.063	-0.220	1.856	1.811	-0.406	-0.201	1.885	1.847	-0.377
0.045	1.996	1.995	-0.059	-0.220	1.856	1.811	-0.406	-0.202	1.888	1.850	-0.378
