phi_u	d_u	x_u	y_u	phi_v	d_v	x_v	y_v	phi_f	d_f	x_f	y_f
0.591	1.660	1.369	0.938	0.352	1.941	1.822	0.669	0.330	1.702	1.610	0.552
0.585	1.665	1.497	0.727	0.352	1.903	1.787	0.656	0.328	1.688	1.598	0.544
0.568	1.668	1.529	0.665	0.352	1.903	1.787	0.656	0.327	1.689	1.599	0.543
0.552	1.663	1.496	0.726	0.355	1.865	1.749	0.649	0.331	1.675	1.584	0.544
0.534	1.660	1.496	0.719	0.355	1.865	1.749	0.649	0.331	1.673	1.582	0.544
0.523	1.660	1.435	0.835	0.360	1.840	1.722	0.649	0.336	1.667	1.574	0.550
0.519	1.652	1.423	0.838	0.360	1.840	1.722	0.649	0.336	1.662	1.569	0.548
0.512	1.657	1.420	0.854	0.360	1.840	1.722	0.649	0.336	1.666	1.573	0.550
0.504	1.659	1.407	0.880	0.360	1.840	1.722	0.649	0.337	1.669	1.575	0.551
0.492	1.667	1.463	0.798	0.360	1.840	1.722	0.649	0.336	1.670	1.577	0.551
0.487	1.659	1.485	0.740	0.360	1.840	1.722	0.649	0.336	1.675	1.581	0.552
0.493	1.648	1.475	0.735	0.360	1.840	1.722	0.649	0.335	1.657	1.565	0.545
0.497	1.648	1.449	0.784	0.360	1.840	1.722	0.649	0.336	1.658	1.565	0.546
0.500	1.660	1.487	0.737	0.360	1.840	1.722	0.649	0.335	1.665	1.572	0.548
0.501	1.653	1.457	0.780	0.367	1.809	1.688	0.649	0.341	1.651	1.556	0.553
0.500	1.639	1.418	0.822	0.367	1.809	1.688	0.649	0.342	1.643	1.548	0.551
0.498	1.638	1.416	0.822	0.365	1.806	1.687	0.645	0.340	1.641	1.547	0.547
0.491	1.630	1.452	0.741	0.365	1.806	1.687	0.645	0.339	1.634	1.541	0.544
0.484	1.643	1.500	0.670	0.365	1.784	1.667	0.637	0.338	1.634	1.542	0.542
0.473	1.641	1.516	0.628	0.365	1.784	1.667	0.637	0.338	1.632	1.540	0.541
0.466	1.637	1.503	0.650	0.368	1.755	1.637	0.631	0.340	1.621	1.528	0.541
0.462	1.641	1.455	0.758	0.368	1.755	1.637	0.631	0.341	1.625	1.531	0.544
0.462	1.623	1.472	0.683	0.368	1.755	1.637	0.631	0.341	1.612	1.519	0.539
0.462	1.617	1.442	0.732	0.368	1.755	1.637	0.631	0.341	1.609	1.516	0.538
0.459	1.619	1.442	0.736	0.368	1.755	1.637	0.631	0.341	1.610	1.517	0.539
0.455	1.613	1.425	0.755	0.368	1.755	1.637	0.631	0.341	1.607	1.514	0.538
0.459	1.624	1.434	0.764	0.368	1.755	1.637	0.631	0.342	1.615	1.522	0.541
0.465	1.616	1.397	0.811	0.368	1.755	1.637	0.631	0.342	1.609	1.516	0.540
0.476	1.613	1.413	0.777	0.371	1.725	1.608	0.625	0.344	1.598	1.504	0.539
0.482	1.616	1.433	0.747	0.371	1.725	1.608	0.625	0.344	1.600	1.506	0.539
0.485	1.616	1.439	0.735	0.371	1.725	1.608	0.625	0.343	1.598	1.505	0.538
0.485	1.632	1.452	0.746	0.372	1.705	1.588	0.620	0.344	1.603	1.509	0.541
0.487	1.623	1.442	0.745	0.372	1.705	1.588	0.620	0.344	1.597	1.503	0.539
0.488	1.619	1.439	0.743	0.372	1.695	1.579	0.617	0.344	1.591	1.498	0.537
0.486	1.609	1.446	0.705	0.372	1.695	1.579	0.617	0.344	1.584	1.491	0.534
0.479	1.617	1.483	0.644	0.372	1.695	1.579	0.617	0.344	1.588	1.495	0.535
