phi_u	d_u	x_u	y_u	phi_v	d_v	x_v	y_v	phi_f	d_f	x_f	y_f
1.427	1.412	0.847	1.129	0.750	1.287	0.941	0.877	0.681	1.332	1.035	0.838
1.395	1.409	0.806	1.155	0.753	1.283	0.936	0.877	0.684	1.330	1.031	0.840
1.342	1.414	0.664	1.248	0.753	1.283	0.936	0.877	0.685	1.340	1.038	0.848
1.293	1.421	0.611	1.283	0.756	1.276	0.928	0.876	1.192	1.326	0.491	1.232
1.261	1.418	0.281	1.390	0.756	1.276	0.928	0.876	1.441	1.346	0.174	1.335
1.253	1.403	0.000	1.403	0.751	1.272	0.929	0.868	1.642	1.351	-0.096	1.348
1.253	1.381	0.017	1.381	0.751	1.272	0.929	0.868	1.631	1.328	-0.080	1.326
1.219	1.364	0.526	1.258	0.751	1.272	0.929	0.868	1.245	1.273	0.408	1.206
1.176	1.367	0.695	1.176	0.751	1.272	0.929	0.868	0.682	1.302	1.011	0.821
1.159	1.365	0.689	1.178	0.751	1.272	0.929	0.868	0.682	1.301	1.010	0.820
1.165	1.349	0.672	1.170	0.751	1.272	0.929	0.868	0.682	1.292	1.003	0.814
1.142	1.296	0.992	0.834	0.751	1.272	0.929	0.868	0.678	1.237	0.963	0.776
1.097	1.297	1.068	0.735	0.751	1.272	0.929	0.868	0.677	1.233	0.961	0.772
1.033	1.321	1.065	0.781	0.751	1.272	0.929	0.868	0.678	1.250	0.974	0.784
0.952	1.353	1.011	0.898	0.751	1.272	0.929	0.868	0.679	1.276	0.993	0.801
0.871	1.372	0.986	0.954	0.751	1.272	0.929	0.868	0.679	1.291	1.005	0.811
0.825	1.378	0.968	0.981	0.751	1.272	0.929	0.868	0.679	1.296	1.009	0.814
0.796	1.378	0.970	0.979	0.751	1.272	0.929	0.868	0.679	1.296	1.009	0.814
0.775	1.373	0.968	0.974	0.751	1.272	0.929	0.868	0.679	1.293	1.006	0.812
0.751	1.375	0.950	0.994	0.751	1.272	0.929	0.868	0.679	1.296	1.008	0.814
0.737	1.377	0.954	0.994	0.751	1.272	0.929	0.868	0.679	1.297	1.009	0.815
0.744	1.376	0.933	1.010	0.751	1.272	0.929	0.868	0.680	1.296	1.008	0.815
0.790	1.362	0.907	1.015	0.751	1.272	0.929	0.868	0.679	1.288	1.002	0.809
0.806	1.354	0.906	1.006	0.746	1.250	0.918	0.849	0.674	1.276	0.997	0.796
0.813	1.358	0.892	1.024	0.746	1.250	0.918	0.849	0.675	1.279	0.999	0.799
0.814	1.360	0.973	0.950	0.746	1.250	0.918	0.849	0.673	1.277	0.998	0.796
0.811	1.343	0.959	0.940	0.746	1.249	0.918	0.847	0.673	1.265	0.989	0.788
0.808	1.342	0.961	0.936	0.744	1.216	0.895	0.824	0.673	1.263	0.988	0.787
0.802	1.334	0.978	0.906	0.744	1.216	0.895	0.824	0.669	1.247	0.978	0.773
0.792	1.331	1.032	0.841	0.744	1.216	0.895	0.824	0.668	1.242	0.975	0.770
0.776	1.333	1.071	0.792	0.744	1.216	0.895	0.824	0.668	1.240	0.974	0.768
0.753	1.334	1.100	0.754	0.744	1.216	0.895	0.824	0.668	1.240	0.974	0.768
0.728	1.329	1.103	0.741	0.744	1.216	0.895	0.824	0.667	1.236	0.971	0.765
0.702	1.328	1.108	0.733	0.744	1.216	0.895	0.824	0.667	1.236	0.971	0.765
0.651	1.364	1.164	0.711	0.744	1.216	0.895	0.824	0.667	1.259	0.989	0.779
0.629	1.370	1.204	0.654	0.744	1.216	0.895	0.824	0.666	1.261	0.991	0.779
0.610	1.363	1.125	0.769	0.744	1.216	0.895	0.824	0.668	1.260	0.989	0.780
0.599	1.354	1.046	0.860	0.744	1.216	0.895	0.824	0.669	1.258	0.987	0.780
0.601	1.344	0.982	0.917	0.744	1.216	0.895	0.824	0.670	1.254	0.983	0.778
0.613	1.351	0.926	0.984	0.744	1.216	0.895	0.824	0.670	1.262	0.989	0.784
0.628	1.341	0.972	0.924	0.744	1.216	0.895	0.824	0.669	1.252	0.982	0.777
0.642	1.341	1.040	0.846	0.744	1.216	0.895	0.824	0.668	1.249	0.980	0.774
0.651	1.344	1.050	0.838	0.744	1.216	0.895	0.824	0.669	1.250	0.981	0.775
0.664	1.345	1.013	0.885	0.744	1.216	0.895	0.824	0.669	1.253	0.983	0.777
0.682	1.352	1.022	0.885	0.744	1.216	0.895	0.824	0.669	1.258	0.987	0.780
0.714	1.353	1.083	0.811	0.742	1.197	0.882	0.810	0.665	1.249	0.983	0.771
0.713	1.350	1.113	0.764	0.742	1.197	0.882	0.810	0.665	1.245	0.980	0.768
0.702	1.350	1.097	0.786	0.742	1.194	0.880	0.807	0.665	1.245	0.980	0.768
