phi_u	d_u	x_u	y_u	phi_v	d_v	x_v	y_v	phi_f	d_f	x_f	y_f
0.037	1.497	1.497	0.010	-0.272	1.272	1.225	-0.342	-0.241	1.366	1.327	-0.326
0.028	1.504	1.504	0.024	-0.272	1.272	1.225	-0.342	-0.241	1.371	1.331	-0.327
0.025	1.501	1.500	0.040	-0.285	1.237	1.187	-0.348	-0.251	1.357	1.315	-0.337
0.019	1.507	1.507	0.009	-0.285	1.237	1.187	-0.348	-0.252	1.362	1.319	-0.339
0.012	1.494	1.494	0.010	-0.285	1.237	1.187	-0.348	-0.252	1.353	1.310	-0.337
0.009	1.493	1.493	0.009	-0.291	1.220	1.169	-0.350	-0.257	1.346	1.302	-0.342
0.008	1.494	1.494	0.020	-0.291	1.220	1.169	-0.350	-0.257	1.347	1.303	-0.342
0.031	1.496	1.489	0.149	-0.296	1.203	1.151	-0.351	-0.260	1.341	1.296	-0.345
0.031	1.496	1.489	0.149	-0.296	1.203	1.151	-0.351	-0.260	1.344	1.299	-0.345
0.039	1.509	1.504	0.122	-0.296	1.203	1.151	-0.351	-0.260	1.352	1.307	-0.347
0.043	1.508	1.505	0.092	-0.296	1.203	1.151	-0.351	-0.260	1.351	1.306	-0.347
0.042	1.491	1.491	-0.033	-0.296	1.203	1.151	-0.351	-0.261	1.339	1.294	-0.346
0.040	1.478	1.477	0.033	-0.296	1.203	1.151	-0.351	-0.261	1.331	1.286	-0.343
0.040	1.478	1.477	0.033	-0.296	1.203	1.151	-0.351	-0.261	1.330	1.285	-0.343
0.041	1.486	1.486	-0.006	-0.296	1.203	1.151	-0.351	-0.261	1.336	1.291	-0.345
0.039	1.483	1.483	0.040	-0.296	1.203	1.151	-0.351	-0.261	1.335	1.290	-0.344
0.034	1.485	1.483	0.073	-0.296	1.203	1.151	-0.351	-0.260	1.336	1.291	-0.344
0.031	1.481	1.478	0.096	-0.296	1.203	1.151	-0.351	-0.260	1.333	1.288	-0.343
0.029	1.478	1.472	0.129	-0.296	1.203	1.151	-0.351	-0.260	1.331	1.286	-0.342
0.044	1.473	1.463	0.174	-0.296	1.203	1.151	-0.351	-0.260	1.333	1.288	-0.342
0.044	1.473	1.463	0.174	-0.296	1.203	1.151	-0.351	-0.260	1.329	1.284	-0.341
0.064	1.475	1.472	0.103	-0.296	1.203	1.151	-0.351	-0.259	1.325	1.281	-0.340
0.071	1.472	1.469	0.096	-0.301	1.191	1.138	-0.353	-0.264	1.326	1.280	-0.346
0.077	1.480	1.477	0.101	-0.301	1.191	1.138	-0.353	-0.264	1.329	1.283	-0.347
0.084	1.490	1.482	0.146	-0.306	1.188	1.133	-0.358	-0.268	1.334	1.286	-0.353
0.091	1.494	1.489	0.120	-0.306	1.188	1.133	-0.358	-0.268	1.337	1.289	-0.354
0.092	1.497	1.494	0.098	-0.310	1.185	1.129	-0.362	-0.272	1.338	1.289	-0.359
0.085	1.487	1.487	0.012	-0.310	1.185	1.129	-0.362	-0.272	1.331	1.282	-0.358
0.073	1.475	1.475	-0.018	-0.310	1.185	1.129	-0.362	-0.272	1.323	1.274	-0.356
0.063	1.477	1.477	0.017	-0.310	1.185	1.129	-0.362	-0.272	1.324	1.275	-0.356
0.055	1.487	1.485	0.069	-0.310	1.185	1.129	-0.362	-0.272	1.331	1.282	-0.358
0.050	1.481	1.480	0.051	-0.310	1.185	1.129	-0.362	-0.272	1.327	1.278	-0.357
0.042	1.476	1.476	0.043	-0.310	1.185	1.129	-0.362	-0.272	1.327	1.278	-0.357
0.039	1.480	1.476	0.112	-0.310	1.185	1.129	-0.362	-0.272	1.327	1.278	-0.356
0.036	1.488	1.484	0.108	-0.310	1.185	1.129	-0.362	-0.272	1.332	1.283	-0.358
0.034	1.494	1.492	0.077	-0.310	1.185	1.129	-0.362	-0.272	1.336	1.287	-0.359
0.047	1.488	1.476	0.181	-0.310	1.185	1.129	-0.362	-0.272	1.330	1.281	-0.357
0.056	1.475	1.464	0.182	-0.310	1.185	1.129	-0.362	-0.272	1.323	1.275	-0.355
0.064	1.469	1.463	0.136	-0.310	1.185	1.129	-0.362	-0.272	1.319	1.271	-0.354
0.068	1.472	1.467	0.120	-0.310	1.185	1.129	-0.362	-0.272	1.322	1.273	-0.355
0.067	1.479	1.479	0.026	-0.310	1.185	1.129	-0.362	-0.273	1.326	1.277	-0.357
0.059	1.492	1.492	-0.006	-0.313	1.185	1.127	-0.365	-0.275	1.331	1.281	-0.362
0.055	1.489	1.488	0.064	-0.313	1.185	1.127	-0.365	-0.275	1.333	1.283	-0.362
0.058	1.476	1.467	0.160	-0.313	1.185	1.127	-0.365	-0.274	1.323	1.274	-0.358
0.064	1.482	1.472	0.170	-0.316	1.185	1.126	-0.368	-0.276	1.327	1.277	-0.362
