phi_u	d_u	x_u	y_u	phi_v	d_v	x_v	y_v	phi_f	d_f	x_f	y_f
-0.203	2.100	2.081	-0.284	-0.464	1.876	1.678	-0.841	-0.429	1.973	1.794	-0.820
-0.203	2.100	2.081	-0.284	-0.464	1.876	1.678	-0.841	-0.428	1.967	1.790	-0.816
-0.206	2.104	2.079	-0.324	-0.464	1.876	1.678	-0.841	-0.428	1.970	1.792	-0.818
-0.204	2.096	2.080	-0.256	-0.464	1.876	1.678	-0.841	-0.428	1.964	1.787	-0.815
-0.188	2.106	2.059	-0.445	-0.464	1.876	1.678	-0.841	-0.429	1.973	1.794	-0.820
-0.184	2.115	2.042	-0.549	-0.464	1.876	1.678	-0.841	-0.430	1.979	1.799	-0.824
-0.183	2.111	2.040	-0.542	-0.462	1.874	1.678	-0.836	-0.427	1.976	1.798	-0.819
-0.186	2.095	2.033	-0.505	-0.462	1.874	1.677	-0.836	-0.427	1.965	1.788	-0.814
-0.191	2.095	2.022	-0.547	-0.462	1.874	1.677	-0.836	-0.427	1.965	1.788	-0.814
-0.198	2.097	2.026	-0.539	-0.462	1.874	1.677	-0.836	-0.427	1.966	1.789	-0.815
-0.210	2.102	2.033	-0.535	-0.462	1.874	1.677	-0.836	-0.427	1.969	1.792	-0.816
-0.223	2.112	2.015	-0.632	-0.462	1.874	1.677	-0.836	-0.428	1.977	1.799	-0.820
-0.238	2.113	2.022	-0.612	-0.462	1.874	1.677	-0.836	-0.428	1.977	1.799	-0.820
-0.254	2.106	2.044	-0.507	-0.462	1.874	1.677	-0.836	-0.427	1.971	1.794	-0.817
-0.255	2.093	2.058	-0.382	-0.462	1.874	1.677	-0.836	-0.427	1.962	1.786	-0.812
-0.244	2.080	2.067	-0.231	-0.462	1.874	1.677	-0.836	-0.426	1.952	1.778	-0.806
-0.214	2.092	2.072	-0.282	-0.462	1.874	1.677	-0.836	-0.426	1.960	1.785	-0.810
-0.206	2.096	2.072	-0.317	-0.462	1.874	1.677	-0.836	-0.426	1.964	1.788	-0.812
-0.197	2.099	2.080	-0.286	-0.462	1.874	1.677	-0.836	-0.426	1.966	1.790	-0.812
-0.184	2.089	2.077	-0.226	-0.462	1.874	1.677	-0.836	-0.426	1.959	1.784	-0.809
-0.168	2.083	2.070	-0.230	-0.462	1.874	1.677	-0.836	-0.426	1.954	1.780	-0.807
-0.152	2.088	2.067	-0.293	-0.462	1.874	1.677	-0.836	-0.426	1.958	1.783	-0.809
-0.139	2.087	2.056	-0.356	-0.462	1.874	1.677	-0.836	-0.427	1.957	1.782	-0.810
-0.134	2.089	2.062	-0.334	-0.462	1.873	1.676	-0.835	-0.426	1.958	1.783	-0.810
-0.136	2.092	2.068	-0.319	-0.462	1.873	1.676	-0.835	-0.426	1.962	1.786	-0.811
-0.140	2.087	2.069	-0.268	-0.462	1.873	1.676	-0.835	-0.426	1.957	1.782	-0.808
-0.144	2.077	2.058	-0.281	-0.462	1.873	1.676	-0.835	-0.426	1.950	1.776	-0.806
-0.148	2.071	2.023	-0.442	-0.462	1.873	1.676	-0.835	-0.427	1.947	1.772	-0.806
-0.156	2.072	2.034	-0.394	-0.462	1.873	1.676	-0.835	-0.427	1.948	1.773	-0.806
-0.161	2.075	2.043	-0.358	-0.462	1.873	1.676	-0.835	-0.426	1.949	1.774	-0.806
-0.164	2.067	2.041	-0.326	-0.462	1.872	1.676	-0.835	-0.426	1.944	1.770	-0.803
-0.160	2.054	2.042	-0.224	-0.462	1.872	1.676	-0.835	-0.426	1.935	1.762	-0.799
-0.157	2.055	2.034	-0.294	-0.462	1.872	1.676	-0.835	-0.426	1.935	1.762	-0.800
-0.153	2.064	2.045	-0.282	-0.464	1.862	1.665	-0.833	-0.427	1.938	1.764	-0.803
-0.153	2.068	2.044	-0.309	-0.464	1.862	1.665	-0.833	-0.427	1.940	1.766	-0.804
-0.156	2.089	2.052	-0.388	-0.464	1.862	1.665	-0.833	-0.428	1.955	1.779	-0.811
-0.159	2.087	2.047	-0.406	-0.466	1.850	1.653	-0.831	-0.429	1.950	1.773	-0.812
-0.160	2.094	2.053	-0.412	-0.466	1.850	1.653	-0.831	-0.429	1.955	1.778	-0.814
-0.156	2.094	2.067	-0.336	-0.466	1.850	1.653	-0.831	-0.429	1.955	1.778	-0.813
-0.144	2.074	2.059	-0.253	-0.466	1.850	1.653	-0.831	-0.429	1.942	1.766	-0.807
-0.144	2.083	2.057	-0.330	-0.466	1.850	1.653	-0.831	-0.429	1.947	1.771	-0.810
-0.149	2.089	2.044	-0.427	-0.466	1.850	1.653	-0.831	-0.430	1.951	1.774	-0.813
-0.154	2.096	2.063	-0.371	-0.466	1.850	1.653	-0.831	-0.429	1.956	1.779	-0.814
-0.154	2.083	2.065	-0.271	-0.466	1.850	1.653	-0.831	-0.428	1.947	1.771	-0.809
-0.142	2.066	2.042	-0.312	-0.466	1.850	1.653	-0.831	-0.428	1.938	1.763	-0.805
-0.140	2.070	2.032	-0.392	-0.466	1.850	1.653	-0.831	-0.429	1.939	1.763	-0.807
-0.140	2.057	2.026	-0.359	-0.466	1.850	1.653	-0.831	-0.429	1.930	1.755	-0.803
-0.146	2.069	2.042	-0.336	-0.466	1.850	1.653	-0.831	-0.429	1.939	1.763	-0.806
-0.154	2.093	2.057	-0.384	-0.466	1.850	1.653	-0.831	-0.429	1.944	1.768	-0.808
-0.154	2.090	2.055	-0.382	-0.466	1.850	1.653	-0.831	-0.430	1.952	1.775	-0.813
-0.156	2.078	2.030	-0.444	-0.466	1.850	1.653	-0.831	-0.430	1.945	1.768	-0.810
-0.160	2.073	2.043	-0.354	-0.466	1.850	1.653	-0.831	-0.429	1.941	1.765	-0.808
-0.165	2.075	2.048	-0.337	-0.466	1.850	1.653	-0.831	-0.429	1.942	1.766	-0.808
-0.161	2.083	2.075	-0.182	-0.466	1.850	1.653	-0.831	-0.429	1.949	1.772	-0.811
-0.161	2.083	2.075	-0.182	-0.466	1.850	1.653	-0.831	-0.428	1.947	1.771	-0.808
-0.151	2.081	2.071	-0.208	-0.466	1.850	1.653	-0.831	-0.428	1.946	1.770	-0.808
-0.143	2.076	2.061	-0.247	-0.466	1.850	1.653	-0.831	-0.429	1.942	1.766	-0.807
