phi_u	d_u	x_u	y_u	phi_v	d_v	x_v	y_v	phi_f	d_f	x_f	y_f
-0.115	1.993	1.988	-0.140	-0.052	1.630	1.628	-0.085	-0.049	1.812	1.810	-0.088
-0.113	1.991	1.983	-0.176	-0.052	1.630	1.628	-0.085	-0.049	1.813	1.811	-0.088
-0.114	1.995	1.986	-0.188	-0.052	1.630	1.628	-0.085	-0.048	1.816	1.814	-0.088
-0.114	2.001	1.993	-0.177	-0.052	1.630	1.628	-0.085	-0.048	1.820	1.818	-0.088
-0.115	1.992	1.984	-0.178	-0.053	1.631	1.628	-0.086	-0.049	1.814	1.812	-0.089
-0.118	1.996	1.982	-0.239	-0.054	1.631	1.629	-0.087	-0.050	1.817	1.815	-0.091
-0.118	2.009	1.998	-0.211	-0.054	1.631	1.629	-0.087	-0.050	1.826	1.824	-0.091
-0.107	2.011	2.007	-0.132	-0.054	1.631	1.629	-0.087	-0.050	1.825	1.823	-0.091
-0.107	2.011	2.007	-0.132	-0.051	1.631	1.629	-0.083	-0.047	1.828	1.826	-0.086
-0.091	1.996	1.996	0.006	-0.054	1.632	1.629	-0.087	-0.049	1.817	1.815	-0.089
-0.084	1.992	1.991	-0.047	-0.054	1.632	1.629	-0.087	-0.049	1.814	1.812	-0.089
-0.079	1.983	1.976	-0.163	-0.055	1.632	1.630	-0.090	-0.051	1.808	1.806	-0.093
-0.074	1.983	1.972	-0.209	-0.057	1.632	1.630	-0.093	-0.052	1.803	1.801	-0.093
-0.068	1.991	1.980	-0.210	-0.057	1.633	1.630	-0.093	-0.053	1.812	1.809	-0.096
-0.068	1.991	1.980	-0.210	-0.057	1.633	1.630	-0.093	-0.053	1.815	1.812	-0.096
-0.066	2.000	1.987	-0.231	-0.057	1.633	1.630	-0.093	-0.053	1.821	1.818	-0.097
-0.111	2.001	1.982	-0.274	-0.057	1.632	1.629	-0.093	-0.053	1.820	1.817	-0.097
-0.117	1.992	1.968	-0.301	-0.058	1.632	1.629	-0.094	-0.055	1.815	1.812	-0.099
-0.129	1.998	1.975	-0.302	-0.060	1.619	1.616	-0.097	-0.057	1.818	1.815	-0.103
-0.134	2.008	1.998	-0.198	-0.060	1.619	1.616	-0.097	-0.056	1.812	1.809	-0.102
-0.129	2.005	2.000	-0.151	-0.062	1.606	1.603	-0.100	-0.058	1.816	1.813	-0.105
-0.127	2.001	1.983	-0.268	-0.065	1.606	1.602	-0.104	-0.061	1.813	1.810	-0.110
-0.131	1.999	1.970	-0.339	-0.065	1.606	1.602	-0.104	-0.061	1.811	1.808	-0.111
-0.134	1.993	1.962	-0.351	-0.067	1.605	1.602	-0.107	-0.063	1.808	1.804	-0.114
-0.135	1.991	1.976	-0.243	-0.067	1.605	1.602	-0.107	-0.062	1.805	1.802	-0.112
-0.123	2.001	1.995	-0.161	-0.067	1.605	1.602	-0.107	-0.062	1.806	1.803	-0.112
-0.117	2.006	1.994	-0.219	-0.067	1.605	1.601	-0.107	-0.062	1.816	1.812	-0.113
-0.113	2.006	1.997	-0.189	-0.067	1.605	1.601	-0.107	-0.062	1.816	1.812	-0.113
