phi_u	d_u	x_u	y_u	phi_v	d_v	x_v	y_v	phi_f	d_f	x_f	y_f
-0.397	1.594	1.447	-0.668	-0.774	1.412	1.009	-0.987	-0.709	1.469	1.115	-0.956
-0.405	1.592	1.402	-0.755	-0.777	1.424	1.015	-0.999	-0.713	1.474	1.115	-0.964
-0.412	1.594	1.399	-0.765	-0.777	1.424	1.016	-0.999	-0.713	1.475	1.116	-0.965
-0.425	1.602	1.396	-0.786	-0.777	1.424	1.016	-0.999	-0.713	1.481	1.120	-0.969
-0.440	1.609	1.431	-0.735	-0.771	1.416	1.016	-0.987	-0.707	1.482	1.127	-0.962
-0.455	1.608	1.464	-0.664	-0.771	1.416	1.016	-0.987	-0.706	1.479	1.125	-0.960
-0.457	1.594	1.483	-0.584	-0.771	1.416	1.016	-0.987	-0.706	1.469	1.118	-0.953
-0.455	1.593	1.473	-0.605	-0.771	1.417	1.016	-0.987	-0.706	1.468	1.117	-0.952
-0.439	1.596	1.495	-0.557	-0.777	1.424	1.016	-0.998	-0.706	1.463	1.114	-0.949
-0.439	1.596	1.495	-0.557	-0.777	1.424	1.016	-0.998	-0.711	1.471	1.115	-0.960
-0.430	1.602	1.492	-0.583	-0.778	1.427	1.016	-1.002	-0.713	1.477	1.117	-0.966
-0.418	1.602	1.503	-0.555	-0.778	1.427	1.016	-1.002	-0.713	1.477	1.117	-0.966
-0.404	1.597	1.484	-0.589	-0.778	1.427	1.016	-1.002	-0.713	1.474	1.115	-0.964
-0.389	1.582	1.479	-0.561	-0.778	1.427	1.016	-1.002	-0.713	1.463	1.107	-0.957
-0.377	1.594	1.489	-0.569	-0.778	1.427	1.016	-1.002	-0.712	1.465	1.109	-0.958
-0.377	1.594	1.489	-0.569	-0.778	1.427	1.017	-1.002	-0.712	1.472	1.114	-0.962
-0.376	1.598	1.492	-0.572	-0.778	1.427	1.017	-1.002	-0.712	1.475	1.116	-0.964
-0.377	1.597	1.483	-0.590	-0.777	1.428	1.018	-1.002	-0.712	1.474	1.116	-0.963
-0.378	1.597	1.482	-0.594	-0.781	1.434	1.018	-1.009	-0.715	1.476	1.114	-0.968
-0.378	1.600	1.468	-0.634	-0.781	1.434	1.018	-1.009	-0.716	1.479	1.116	-0.970
-0.385	1.605	1.439	-0.709	-0.781	1.435	1.018	-1.010	-0.717	1.483	1.118	-0.975
-0.392	1.595	1.429	-0.710	-0.781	1.435	1.018	-1.010	-0.717	1.478	1.114	-0.971
-0.403	1.593	1.478	-0.593	-0.782	1.436	1.019	-1.012	-0.717	1.473	1.110	-0.968
-0.403	1.593	1.478	-0.593	-0.783	1.440	1.021	-1.015	-0.718	1.475	1.111	-0.970
-0.404	1.594	1.467	-0.622	-0.783	1.440	1.021	-1.015	-0.718	1.476	1.112	-0.971
-0.406	1.605	1.475	-0.633	-0.783	1.439	1.021	-1.015	-0.718	1.484	1.118	-0.976
-0.410	1.600	1.480	-0.607	-0.783	1.439	1.021	-1.015	-0.717	1.480	1.115	-0.973
-0.414	1.587	1.469	-0.601	-0.779	1.450	1.032	-1.019	-0.714	1.475	1.114	-0.966
-0.415	1.585	1.471	-0.589	-0.784	1.443	1.022	-1.019	-0.719	1.471	1.107	-0.968
-0.409	1.596	1.477	-0.604	-0.784	1.443	1.022	-1.019	-0.718	1.478	1.113	-0.973
-0.404	1.602	1.459	-0.661	-0.784	1.443	1.022	-1.019	-0.719	1.483	1.116	-0.977
-0.400	1.601	1.472	-0.629	-0.779	1.454	1.035	-1.021	-0.715	1.486	1.122	-0.974
-0.400	1.597	1.455	-0.658	-0.779	1.454	1.035	-1.021	-0.715	1.484	1.120	-0.973
-0.405	1.588	1.424	-0.704	-0.776	1.466	1.047	-1.027	-0.713	1.483	1.122	-0.970
-0.406	1.585	1.459	-0.619	-0.776	1.466	1.047	-1.027	-0.713	1.479	1.119	-0.967
-0.402	1.578	1.461	-0.596	-0.775	1.466	1.047	-1.026	-0.711	1.473	1.116	-0.961
-0.402	1.578	1.461	-0.596	-0.777	1.471	1.049	-1.031	-0.714	1.475	1.115	-0.966
-0.406	1.603	1.469	-0.640	-0.778	1.473	1.049	-1.034	-0.713	1.475	1.115	-0.965
-0.404	1.603	1.489	-0.593	-0.778	1.473	1.049	-1.034	-0.714	1.484	1.121	-0.972
-0.407	1.595	1.468	-0.625	-0.779	1.476	1.050	-1.037	-0.715	1.500	1.133	-0.983
-0.404	1.597	1.454	-0.660	-0.779	1.476	1.050	-1.037	-0.716	1.491	1.125	-0.978
-0.407	1.598	1.451	-0.670	-0.779	1.476	1.050	-1.038	-0.717	1.492	1.125	-0.980
-0.406	1.595	1.471	-0.617	-0.779	1.476	1.050	-1.038	-0.716	1.489	1.123	-0.977
-0.406	1.609	1.480	-0.631	-0.781	1.478	1.050	-1.040	-0.717	1.494	1.126	-0.982
-0.406	1.609	1.480	-0.631	-0.785	1.484	1.050	-1.048	-0.721	1.501	1.127	-0.991
-0.408	1.608	1.455	-0.683	-0.785	1.484	1.050	-1.048	-0.721	1.501	1.127	-0.991
-0.411	1.599	1.423	-0.730	-0.785	1.484	1.050	-1.048	-0.722	1.496	1.123	-0.989
-0.420	1.591	1.462	-0.627	-0.785	1.484	1.050	-1.048	-0.721	1.489	1.118	-0.983
-0.422	1.588	1.436	-0.678	-0.781	1.478	1.050	-1.040	-0.717	1.486	1.120	-0.977
-0.440	1.600	1.414	-0.748	-0.789	1.490	1.050	-1.058	-0.722	1.490	1.118	-0.985
-0.449	1.602	1.424	-0.734	-0.789	1.490	1.049	-1.058	-0.727	1.500	1.121	-0.997
-0.453	1.603	1.471	-0.638	-0.789	1.490	1.049	-1.058	-0.726	1.499	1.121	-0.995
-0.453	1.602	1.466	-0.645	-0.790	1.490	1.049	-1.058	-0.726	1.498	1.120	-0.995
-0.452	1.602	1.441	-0.701	-0.792	1.476	1.037	-1.050	-0.728	1.495	1.116	-0.995
-0.454	1.610	1.436	-0.727	-0.792	1.476	1.037	-1.050	-0.728	1.500	1.120	-0.998
-0.459	1.612	1.460	-0.683	-0.793	1.462	1.025	-1.042	-0.729	1.496	1.116	-0.997
-0.450	1.599	1.486	-0.589	-0.793	1.462	1.025	-1.042	-0.728	1.486	1.109	-0.989
-0.441	1.594	1.474	-0.606	-0.792	1.460	1.025	-1.039	-0.727	1.483	1.108	-0.985
-0.434	1.595	1.439	-0.690	-0.792	1.460	1.025	-1.039	-0.728	1.485	1.109	-0.988
-0.436	1.594	1.421	-0.722	-0.792	1.460	1.025	-1.039	-0.728	1.485	1.109	-0.988
-0.439	1.601	1.439	-0.702	-0.787	1.468	1.037	-1.039	-0.723	1.492	1.119	-0.987
-0.441	1.603	1.448	-0.689	-0.780	1.475	1.049	-1.037	-0.716	1.496	1.128	-0.982
-0.441	1.615	1.460	-0.690	-0.780	1.475	1.049	-1.037	-0.716	1.503	1.134	-0.987
-0.441	1.621	1.390	-0.833	-0.777	1.473	1.050	-1.033	-0.715	1.510	1.140	-0.990
-0.446	1.619	1.367	-0.868	-0.775	1.471	1.051	-1.029	-0.713	1.510	1.142	-0.988
-0.460	1.626	1.402	-0.824	-0.767	1.479	1.065	-1.026	-0.711	1.515	1.148	-0.988
-0.472	1.614	1.418	-0.770	-0.767	1.479	1.065	-1.026	-0.706	1.506	1.146	-0.977
-0.478	1.590	1.479	-0.583	-0.767	1.479	1.065	-1.026	-0.705	1.500	1.142	-0.972
-0.466	1.585	1.487	-0.550	-0.767	1.479	1.065	-1.026	-0.704	1.483	1.130	-0.960
-0.453	1.577	1.508	-0.462	-0.768	1.480	1.065	-1.028	-0.704	1.476	1.125	-0.956
-0.424	1.587	1.450	-0.646	-0.793	1.472	1.032	-1.049	-0.707	1.484	1.128	-0.964
-0.424	1.587	1.450	-0.646	-0.793	1.472	1.032	-1.049	-0.729	1.482	1.106	-0.987
-0.410	1.583	1.455	-0.622	-0.793	1.472	1.032	-1.049	-0.729	1.479	1.103	-0.985
-0.398	1.589	1.459	-0.627	-0.805	1.462	1.013	-1.054	-0.739	1.479	1.093	-0.996
-0.407	1.611	1.472	-0.652	-0.807	1.464	1.013	-1.057	-0.739	1.482	1.095	-0.998
-0.411	1.600	1.481	-0.606	-0.807	1.464	1.013	-1.057	-0.741	1.488	1.098	-1.004
-0.411	1.591	1.477	-0.590	-0.807	1.464	1.013	-1.057	-0.740	1.481	1.093	-0.999
-0.426	1.598	1.466	-0.636	-0.809	1.468	1.013	-1.062	-0.742	1.484	1.094	-1.003
-0.426	1.598	1.466	-0.636	-0.809	1.468	1.013	-1.063	-0.745	1.490	1.096	-1.010
-0.428	1.587	1.449	-0.646	-0.809	1.468	1.013	-1.063	-0.743	1.481	1.090	-1.002
-0.425	1.586	1.439	-0.666	-0.810	1.470	1.013	-1.065	-0.743	1.469	1.082	-0.994
-0.422	1.579	1.489	-0.526	-0.810	1.470	1.013	-1.065	-0.744	1.474	1.085	-0.998
-0.417	1.581	1.489	-0.530	-0.808	1.474	1.019	-1.065	-0.741	1.476	1.089	-0.997
-0.410	1.574	1.471	-0.558	-0.805	1.478	1.025	-1.065	-0.742	1.471	1.085	-0.994
-0.388	1.575	1.443	-0.631	0.000	0.000	0.000	0.000	-0.409	1.428	1.310	-0.568
-0.386	1.575	1.452	-0.610	0.000	0.000	0.000	0.000	-0.424	1.428	1.302	-0.587
-0.389	1.576	1.439	-0.642	-0.794	1.493	1.047	-1.065	-0.440	1.431	1.295	-0.610
-0.389	1.576	1.439	-0.642	-0.794	1.493	1.047	-1.065	-0.734	1.485	1.102	-0.995
-0.409	1.588	1.407	-0.735	-0.792	1.490	1.047	-1.060	-0.729	1.491	1.112	-0.993
-0.428	1.591	1.414	-0.729	-0.788	1.485	1.047	-1.053	-0.725	1.490	1.115	-0.988
-0.430	1.582	1.435	-0.666	-0.783	1.477	1.047	-1.043	-0.720	1.482	1.114	-0.977
-0.434	1.584	1.418	-0.704	-0.783	1.477	1.047	-1.043	-0.720	1.482	1.114	-0.978
-0.441	1.591	1.417	-0.724	-0.778	1.468	1.046	-1.030	-0.715	1.486	1.122	-0.974
-0.452	1.595	1.383	-0.794	-0.778	1.468	1.046	-1.030	-0.715	1.490	1.125	-0.977
-0.477	1.599	1.442	-0.690	-0.777	1.466	1.045	-1.028	-0.715	1.492	1.127	-0.978
-0.474	1.595	1.404	-0.756	-0.773	1.459	1.045	-1.019	-0.710	1.487	1.128	-0.969
-0.481	1.593	1.382	-0.792	-0.773	1.459	1.045	-1.019	-0.710	1.488	1.128	-0.970
-0.489	1.587	1.371	-0.800	-0.767	1.451	1.044	-1.007	-0.705	1.480	1.127	-0.959
-0.493	1.579	1.383	-0.761	-0.765	1.447	1.044	-1.001	-0.702	1.472	1.124	-0.951
-0.489	1.577	1.421	-0.684	-0.762	1.444	1.044	-0.997	-0.699	1.468	1.124	-0.945
-0.478	1.583	1.435	-0.667	-0.762	1.444	1.044	-0.997	-0.699	1.471	1.126	-0.947
-0.473	1.590	1.386	-0.779	-0.761	1.441	1.044	-0.994	-0.698	1.479	1.133	-0.950
-0.476	1.578	1.419	-0.689	-0.760	1.442	1.044	-0.994	-0.698	1.468	1.125	-0.943
-0.484	1.589	1.398	-0.755	-0.760	1.442	1.044	-0.994	-0.698	1.475	1.130	-0.948
-0.484	1.589	1.398	-0.755	-0.760	1.442	1.044	-0.994	-0.698	1.478	1.132	-0.950
-0.474	1.603	1.403	-0.775	-0.760	1.441	1.044	-0.993	-0.697	1.479	1.134	-0.950
-0.472	1.606	1.412	-0.766	-0.760	1.441	1.044	-0.993	-0.698	1.489	1.141	-0.957
-0.472	1.602	1.448	-0.685	-0.760	1.441	1.044	-0.993	-0.697	1.484	1.138	-0.953
-0.484	1.517	0.963	-1.172	-0.760	1.441	1.044	-0.993	-0.703	1.445	1.103	-0.934
-0.525	1.490	0.973	-1.128	-0.760	1.441	1.044	-0.993	-0.702	1.425	1.088	-0.921
-0.572	1.486	0.876	-1.200	-0.761	1.441	1.044	-0.993	-0.703	1.428	1.089	-0.923
-0.605	1.518	1.170	-0.966	-0.761	1.441	1.044	-0.993	-0.701	1.436	1.098	-0.926
-0.614	1.575	1.448	-0.618	-0.758	1.445	1.049	-0.993	-0.695	1.466	1.126	-0.938
-0.607	1.573	1.446	-0.620	-0.758	1.445	1.049	-0.993	-0.695	1.465	1.125	-0.938
-0.604	1.578	1.420	-0.688	-0.757	1.452	1.055	-0.998	-0.695	1.472	1.130	-0.943
-0.595	1.576	1.453	-0.611	-0.760	1.456	1.055	-1.003	-0.697	1.470	1.127	-0.944
-0.577	1.601	1.442	-0.694	-0.760	1.456	1.055	-1.003	-0.698	1.488	1.140	-0.956
-0.564	1.594	1.465	-0.629	-0.760	1.456	1.055	-1.003	-0.698	1.482	1.136	-0.952
-0.523	1.609	1.419	-0.759	-0.763	1.452	1.049	-1.003	-0.701	1.494	1.142	-0.963
-0.437	1.586	1.453	-0.636	-0.773	1.457	1.043	-1.017	-0.704	1.485	1.132	-0.961
-0.437	1.586	1.453	-0.636	-0.773	1.457	1.043	-1.017	-0.709	1.477	1.121	-0.962
-0.422	1.583	1.445	-0.647	-0.773	1.457	1.043	-1.017	-0.709	1.476	1.120	-0.961
-0.429	1.593	1.436	-0.690	-0.788	1.478	1.042	-1.048	-0.717	1.481	1.116	-0.973
-0.429	1.593	1.436	-0.690	-0.788	1.478	1.042	-1.048	-0.725	1.490	1.115	-0.988
-0.434	1.593	1.449	-0.660	-0.788	1.478	1.042	-1.048	-0.725	1.488	1.114	-0.986
-0.439	1.582	1.443	-0.649	-0.799	1.477	1.030	-1.058	-0.734	1.480	1.099	-0.992
-0.451	1.598	1.393	-0.782	-0.799	1.477	1.030	-1.058	-0.735	1.484	1.101	-0.995
-0.458	1.609	1.385	-0.818	-0.806	1.470	1.018	-1.061	-0.742	1.500	1.106	-1.013
-0.463	1.593	1.400	-0.760	-0.806	1.471	1.018	-1.062	-0.742	1.488	1.097	-1.005
-0.464	1.583	1.443	-0.650	-0.808	1.472	1.018	-1.064	-0.742	1.479	1.090	-1.000
-0.462	1.587	1.452	-0.640	-0.808	1.473	1.018	-1.064	-0.742	1.482	1.092	-1.002
-0.463	1.592	1.430	-0.700	-0.808	1.473	1.018	-1.064	-0.743	1.487	1.095	-1.006
-0.463	1.595	1.437	-0.692	-0.808	1.473	1.018	-1.064	-0.743	1.488	1.096	-1.007
-0.460	1.594	1.464	-0.631	-0.810	1.476	1.018	-1.069	-0.745	1.488	1.094	-1.008
-0.454	1.594	1.481	-0.588	-0.810	1.476	1.018	-1.069	-0.744	1.486	1.093	-1.007
-0.447	1.598	1.487	-0.584	-0.810	1.476	1.017	-1.069	-0.745	1.489	1.095	-1.009
-0.438	1.601	1.429	-0.722	-0.811	1.476	1.017	-1.069	-0.746	1.495	1.098	-1.014
-0.429	1.594	1.468	-0.622	-0.811	1.476	1.017	-1.069	-0.745	1.488	1.094	-1.008
-0.400	1.575	1.507	-0.457	-0.811	1.476	1.017	-1.069	-0.744	1.471	1.083	-0.996
-0.390	1.570	1.489	-0.496	-0.811	1.476	1.017	-1.069	-0.744	1.469	1.081	-0.995
-0.380	1.571	1.457	-0.587	-0.809	1.474	1.017	-1.067	-0.744	1.470	1.082	-0.995
-0.370	1.561	1.482	-0.491	-0.809	1.474	1.017	-1.067	-0.743	1.462	1.077	-0.989
-0.360	1.558	1.500	-0.421	-0.808	1.471	1.017	-1.063	-0.741	1.458	1.076	-0.984
-0.339	1.563	1.498	-0.447	-0.801	1.461	1.017	-1.050	-0.734	1.456	1.081	-0.976
-0.339	1.563	1.498	-0.447	-0.801	1.461	1.017	-1.050	-0.734	1.459	1.083	-0.978
-0.332	1.577	1.484	-0.533	-0.800	1.460	1.017	-1.047	-0.734	1.469	1.091	-0.984
-0.329	1.595	1.443	-0.679	-0.800	1.460	1.017	-1.047	-0.735	1.484	1.101	-0.995
-0.336	1.594	1.449	-0.664	-0.796	1.454	1.017	-1.039	-0.731	1.481	1.103	-0.989
-0.416	1.582	1.493	-0.524	-0.792	1.448	1.017	-1.031	-0.727	1.483	1.108	-0.986
-0.416	1.582	1.493	-0.524	-0.792	1.448	1.017	-1.031	-0.727	1.483	1.108	-0.986
-0.423	1.582	1.481	-0.557	-0.792	1.448	1.018	-1.031	-0.726	1.470	1.099	-0.976
-0.428	1.583	1.450	-0.634	-0.791	1.465	1.030	-1.042	-0.726	1.477	1.104	-0.981
-0.431	1.587	1.475	-0.586	-0.792	1.483	1.042	-1.056	-0.728	1.485	1.109	-0.988
-0.431	1.598	1.438	-0.697	-0.794	1.487	1.042	-1.061	-0.731	1.496	1.114	-0.998
-0.432	1.603	1.434	-0.717	-0.794	1.487	1.042	-1.061	-0.731	1.500	1.117	-1.001
-0.432	1.613	1.418	-0.768	-0.794	1.487	1.042	-1.061	-0.731	1.508	1.122	-1.007
-0.431	1.605	1.411	-0.764	-0.796	1.489	1.042	-1.064	-0.733	1.503	1.117	-1.005
-0.424	1.593	1.482	-0.584	-0.796	1.489	1.042	-1.064	-0.731	1.491	1.110	-0.995
-0.425	1.585	1.489	-0.544	-0.798	1.493	1.042	-1.069	-0.734	1.486	1.104	-0.995
-0.426	1.590	1.468	-0.610	-0.799	1.495	1.042	-1.072	-0.734	1.488	1.105	-0.996
-0.426	1.587	1.445	-0.655	-0.806	1.486	1.029	-1.072	-0.735	1.491	1.106	-1.000
-0.426	1.587	1.445	-0.655	-0.806	1.486	1.029	-1.072	-0.741	1.486	1.097	-1.003
-0.429	1.599	1.415	-0.744	-0.806	1.486	1.029	-1.072	-0.741	1.497	1.104	-1.011
-0.434	1.604	1.399	-0.784	-0.812	1.477	1.017	-1.072	-0.747	1.498	1.099	-1.018
-0.428	1.607	1.475	-0.638	-0.812	1.478	1.017	-1.072	-0.746	1.492	1.096	-1.013
-0.428	1.607	1.475	-0.638	-0.812	1.478	1.017	-1.072	-0.746	1.497	1.099	-1.016
-0.421	1.596	1.476	-0.608	-0.812	1.477	1.017	-1.072	-0.746	1.490	1.094	-1.011
-0.422	1.597	1.467	-0.629	-0.812	1.477	1.017	-1.072	-0.746	1.490	1.094	-1.011
-0.447	1.618	1.368	-0.863	-0.812	1.477	1.017	-1.072	-0.748	1.509	1.106	-1.026
-0.463	1.614	1.413	-0.778	-0.812	1.477	1.017	-1.072	-0.747	1.504	1.103	-1.022
-0.471	1.607	1.404	-0.781	-0.812	1.477	1.017	-1.072	-0.747	1.499	1.100	-1.019
-0.463	1.593	1.458	-0.641	-0.812	1.477	1.017	-1.072	-0.746	1.489	1.093	-1.011
