phi_u	d_u	x_u	y_u	phi_v	d_v	x_v	y_v	phi_f	d_f	x_f	y_f
1.223	0.869	0.219	0.841	0.000	0.000	0.000	0.000	1.431	0.795	0.111	0.787
1.224	0.870	0.218	0.842	0.000	0.000	0.000	0.000	1.432	0.796	0.110	0.788
1.225	0.860	0.269	0.817	0.155	5.588	5.520	0.864	1.367	0.779	0.158	0.763
1.229	0.852	0.296	0.799	0.155	5.588	5.520	0.864	1.330	0.768	0.183	0.746
1.242	0.847	0.233	0.814	-0.146	5.736	5.676	0.832	1.409	0.770	0.124	0.760
1.253	0.855	0.250	0.818	-0.146	5.736	5.676	0.832	1.390	0.777	0.140	0.764
1.263	0.858	0.177	0.839	-0.146	5.736	5.676	0.832	1.479	0.787	0.072	0.784
1.283	0.866	0.059	0.864	-0.138	5.730	5.676	0.788	1.618	0.810	-0.038	0.809
1.344	0.868	0.000	0.868	-0.075	5.692	5.676	-0.426	1.598	0.801	-0.022	0.801
1.371	0.861	0.000	0.861	-0.075	5.692	5.676	-0.426	1.687	0.811	-0.094	0.806
1.383	0.855	0.160	0.840	-0.305	5.950	5.676	-1.785	1.500	0.787	0.056	0.785
1.387	0.855	0.298	0.801	-0.305	5.950	5.676	-1.785	1.328	0.771	0.185	0.748
1.382	0.864	0.205	0.839	-0.328	5.995	5.676	-1.929	1.338	0.777	0.179	0.756
1.379	0.860	0.290	0.810	-0.329	5.998	5.676	-1.939	1.341	0.776	0.177	0.756
1.366	0.863	0.314	0.803	-0.329	5.998	5.676	-1.939	1.310	0.776	0.200	0.750
1.340	0.862	0.366	0.781	0.000	0.000	0.000	0.000	1.243	0.770	0.248	0.729
1.300	0.863	0.383	0.774	0.000	0.000	0.000	0.000	1.220	0.769	0.264	0.722
1.259	0.854	0.352	0.778	0.000	0.000	0.000	0.000	1.258	0.763	0.235	0.726
1.221	0.852	0.300	0.798	0.000	0.000	0.000	0.000	1.325	0.768	0.187	0.745
1.199	0.859	0.254	0.821	0.328	5.995	5.676	-1.929	1.385	0.780	0.144	0.767
1.203	0.860	0.184	0.839	0.328	5.995	5.676	-1.929	1.470	0.788	0.079	0.784
1.227	0.860	0.094	0.855	0.328	5.995	5.676	-1.929	1.578	0.800	-0.006	0.800
1.251	0.867	0.000	0.867	0.328	5.995	5.676	-1.929	1.686	0.817	-0.094	0.812
1.284	0.871	0.000	0.871	0.328	5.995	5.676	-1.929	1.685	0.821	-0.094	0.816
1.323	0.865	0.000	0.865	0.328	5.995	5.676	-1.929	1.686	0.815	-0.094	0.810
1.364	0.861	0.000	0.861	0.328	5.995	5.676	-1.929	1.687	0.811	-0.094	0.806
1.403	0.865	0.163	0.849	0.000	0.000	0.000	0.000	1.497	0.796	0.059	0.794
1.431	0.867	0.140	0.856	0.000	0.000	0.000	0.000	1.525	0.802	0.037	0.801
1.449	0.870	0.194	0.848	0.000	0.000	0.000	0.000	1.460	0.798	0.088	0.793
1.457	0.874	0.319	0.814	0.000	0.000	0.000	0.000	1.308	0.788	0.205	0.761
1.439	0.882	0.348	0.811	0.000	0.000	0.000	0.000	1.274	0.793	0.232	0.758
1.379	0.867	0.316	0.808	0.000	0.000	0.000	0.000	1.279	0.780	0.224	0.747
1.379	0.867	0.316	0.808	0.000	0.000	0.000	0.000	1.279	0.780	0.224	0.747
1.348	0.867	0.275	0.822	0.000	0.000	0.000	0.000	1.360	0.785	0.164	0.768
1.315	0.863	0.264	0.821	0.000	0.000	0.000	0.000	1.374	0.782	0.153	0.767
1.282	0.862	0.313	0.803	0.000	0.000	0.000	0.000	1.311	0.776	0.199	0.750
1.252	0.859	0.348	0.785	0.000	0.000	0.000	0.000	1.266	0.769	0.231	0.733
1.228	0.858	0.242	0.823	0.328	5.995	5.676	-1.929	1.400	0.780	0.133	0.769
1.211	0.859	0.283	0.811	0.328	5.995	5.676	-1.929	1.349	0.776	0.171	0.757
1.218	0.855	0.178	0.836	0.089	5.698	5.676	-0.506	1.478	0.784	0.073	0.781
1.257	0.863	0.000	0.863	0.089	5.698	5.676	-0.506	1.687	0.813	-0.094	0.808
1.291	0.857	0.163	0.841	0.307	4.165	3.970	1.260	1.496	0.788	0.059	0.786
1.299	0.849	0.285	0.800	0.307	4.165	3.970	1.260	1.343	0.766	0.173	0.746
1.285	0.859	0.375	0.773	0.307	4.165	3.970	1.260	1.228	0.765	0.257	0.721
1.268	0.860	0.369	0.777	0.635	2.750	2.214	1.632	1.238	0.767	0.251	0.725
1.254	0.862	0.405	0.761	0.650	2.697	2.147	1.632	1.189	0.765	0.285	0.710
1.249	0.872	0.314	0.814	0.650	2.697	2.147	1.632	1.314	0.787	0.200	0.761
1.253	0.876	0.222	0.847	0.650	2.697	2.147	1.632	1.428	0.801	0.114	0.793
1.264	0.863	0.244	0.827	0.000	0.000	0.000	0.000	1.398	0.785	0.135	0.773
1.252	0.860	0.316	0.800	0.000	0.000	0.000	0.000	1.307	0.774	0.202	0.747
1.212	0.857	0.381	0.767	0.000	0.000	0.000	0.000	1.220	0.761	0.262	0.715
1.173	0.854	0.393	0.758	0.000	0.000	0.000	0.000	1.202	0.758	0.273	0.707
1.156	0.858	0.333	0.790	0.000	0.000	0.000	0.000	1.284	0.768	0.217	0.737
1.163	0.851	0.303	0.795	0.000	0.000	0.000	0.000	1.321	0.766	0.189	0.742
1.181	0.858	0.218	0.830	0.654	2.684	2.131	1.632	1.430	0.784	0.110	0.776
1.204	0.860	0.129	0.851	0.654	2.684	2.131	1.632	1.537	0.796	0.027	0.796
1.224	0.865	0.207	0.840	0.654	2.684	2.131	1.632	1.444	0.791	0.100	0.785
1.228	0.860	0.247	0.824	0.654	2.684	2.131	1.632	1.395	0.782	0.137	0.770
1.229	0.867	0.180	0.848	0.661	2.660	2.100	1.632	1.476	0.797	0.075	0.793
1.246	0.881	0.083	0.877	0.661	2.660	2.100	1.632	1.590	0.822	-0.016	0.822
1.280	0.893	0.000	0.893	0.000	0.000	0.000	0.000	1.683	0.843	-0.094	0.838
1.328	0.888	0.071	0.886	0.000	0.000	0.000	0.000	1.603	0.831	-0.027	0.831
1.360	0.878	0.146	0.866	0.000	0.000	0.000	0.000	1.518	0.812	0.043	0.811
1.371	0.864	0.206	0.839	0.000	0.000	0.000	0.000	1.445	0.790	0.099	0.784
1.383	0.859	0.211	0.832	0.000	0.000	0.000	0.000	1.438	0.784	0.104	0.777
1.392	0.865	0.110	0.858	0.000	0.000	0.000	0.000	1.560	0.803	0.009	0.803
1.393	0.865	0.213	0.838	0.000	0.000	0.000	0.000	1.436	0.790	0.106	0.783
1.389	0.863	0.343	0.791	0.662	2.624	2.070	1.614	1.272	0.772	0.227	0.738
1.374	0.864	0.320	0.802	0.662	2.624	2.070	1.614	1.304	0.777	0.205	0.749
1.354	0.854	0.312	0.795	0.662	2.624	2.070	1.614	1.310	0.768	0.198	0.742
1.323	0.859	0.289	0.809	0.662	2.624	2.070	1.614	1.342	0.775	0.176	0.755
1.293	0.856	0.280	0.809	0.661	2.622	2.069	1.610	1.352	0.773	0.168	0.755
1.271	0.864	0.312	0.805	0.661	2.622	2.069	1.610	1.313	0.778	0.198	0.752
1.256	0.866	0.328	0.802	0.661	2.622	2.069	1.610	1.294	0.779	0.213	0.749
1.236	0.870	0.383	0.781	-0.660	2.619	2.069	1.606	1.223	0.775	0.264	0.729
1.208	0.868	0.341	0.798	-0.660	2.619	2.069	1.606	1.277	0.778	0.225	0.745
1.187	0.863	0.327	0.799	0.000	0.000	0.000	0.000	1.294	0.776	0.212	0.746
1.178	0.860	0.355	0.783	0.000	0.000	0.000	0.000	1.256	0.769	0.238	0.731
1.177	0.866	0.277	0.820	0.000	0.000	0.000	0.000	1.359	0.784	0.165	0.766
1.182	0.867	0.230	0.836	0.000	0.000	0.000	0.000	1.416	0.791	0.122	0.782
1.192	0.866	0.241	0.832	0.000	0.000	0.000	0.000	1.403	0.789	0.132	0.778
1.197	0.863	0.196	0.840	0.000	0.000	0.000	0.000	1.457	0.790	0.090	0.785
1.198	0.855	0.314	0.796	0.660	2.619	2.069	1.606	1.308	0.769	0.200	0.743
1.200	0.851	0.334	0.783	0.660	2.619	2.069	1.606	1.281	0.762	0.218	0.730
1.203	0.853	0.277	0.806	0.660	2.619	2.069	1.606	1.355	0.770	0.165	0.752
1.210	0.855	0.306	0.799	0.659	2.617	2.069	1.602	1.319	0.770	0.192	0.746
1.220	0.867	0.315	0.808	0.659	2.617	2.069	1.602	1.311	0.781	0.201	0.755
1.230	0.874	0.268	0.831	0.659	2.617	2.069	1.602	1.371	0.793	0.157	0.777
