phi_u	d_u	x_u	y_u	phi_v	d_v	x_v	y_v	phi_f	d_f	x_f	y_f
0.077	2.473	2.472	0.041	-0.036	2.116	2.115	-0.077	-0.034	2.296	2.295	-0.077
0.075	2.467	2.461	0.171	-0.036	2.113	2.112	-0.077	-0.033	2.291	2.290	-0.076
0.062	2.468	2.468	0.035	-0.037	2.070	2.069	-0.077	-0.034	2.277	2.276	-0.078
0.041	2.466	2.465	0.071	-0.037	2.070	2.069	-0.077	-0.034	2.278	2.277	-0.078
0.035	2.468	2.462	0.164	-0.037	2.070	2.069	-0.077	-0.034	2.278	2.277	-0.077
0.031	2.470	2.463	0.179	-0.037	2.070	2.069	-0.077	-0.034	2.279	2.278	-0.077
0.031	2.468	2.464	0.147	-0.041	2.070	2.069	-0.085	-0.037	2.279	2.277	-0.085
0.033	2.465	2.458	0.186	-0.047	2.071	2.069	-0.098	-0.043	2.277	2.275	-0.098
0.039	2.479	2.477	0.103	-0.050	2.071	2.069	-0.105	-0.046	2.286	2.284	-0.106
0.041	2.473	2.468	0.162	-0.051	2.071	2.068	-0.105	-0.046	2.282	2.280	-0.105
0.042	2.466	2.465	0.029	-0.051	2.071	2.068	-0.105	-0.047	2.277	2.274	-0.107
0.040	2.449	2.448	0.047	-0.051	2.070	2.068	-0.105	-0.047	2.273	2.270	-0.107
0.040	2.449	2.448	0.047	-0.051	2.070	2.067	-0.105	-0.047	2.265	2.263	-0.106
0.045	2.456	2.445	0.231	-0.051	2.070	2.068	-0.105	-0.046	2.270	2.268	-0.104
0.048	2.456	2.446	0.218	-0.051	2.070	2.068	-0.105	-0.046	2.270	2.268	-0.104
0.053	2.457	2.442	0.275	-0.051	2.070	2.068	-0.105	-0.046	2.271	2.269	-0.104
0.057	2.457	2.433	0.337	-0.051	2.029	2.027	-0.103	-0.046	2.258	2.256	-0.103
0.065	2.454	2.436	0.302	-0.050	2.070	2.068	-0.103	-0.045	2.270	2.268	-0.102
0.069	2.454	2.444	0.222	-0.050	2.070	2.068	-0.103	-0.045	2.269	2.267	-0.102
0.072	2.469	2.465	0.139	-0.051	2.029	2.027	-0.103	-0.046	2.266	2.264	-0.105
0.075	2.480	2.480	-0.028	-0.051	2.029	2.027	-0.103	-0.047	2.274	2.271	-0.107
0.072	2.477	2.476	-0.070	-0.049	2.029	2.027	-0.100	-0.046	2.271	2.269	-0.104
0.071	2.471	2.469	0.103	-0.048	2.029	2.027	-0.096	-0.044	2.267	2.265	-0.099
0.068	2.472	2.468	0.141	-0.048	2.029	2.027	-0.096	-0.044	2.268	2.266	-0.099
0.049	2.482	2.482	-0.023	-0.048	2.029	2.027	-0.096	-0.044	2.269	2.267	-0.100
0.036	2.484	2.484	-0.036	-0.048	2.030	2.028	-0.096	-0.044	2.276	2.274	-0.101
0.025	2.486	2.484	0.098	-0.048	2.030	2.028	-0.096	-0.043	2.278	2.276	-0.099
0.049	2.479	2.468	0.230	-0.051	2.116	2.113	-0.107	-0.041	2.303	2.301	-0.095
0.049	2.479	2.468	0.230	-0.051	2.116	2.113	-0.107	-0.046	2.300	2.298	-0.106
0.057	2.474	2.469	0.165	-0.051	2.116	2.113	-0.107	-0.046	2.297	2.295	-0.106
0.066	2.480	2.476	0.153	-0.051	2.117	2.115	-0.107	-0.047	2.301	2.299	-0.107
0.066	2.480	2.476	0.153	-0.051	2.117	2.115	-0.107	-0.046	2.302	2.300	-0.107
0.076	2.479	2.468	0.235	-0.051	2.118	2.115	-0.107	-0.046	2.301	2.299	-0.106
0.083	2.466	2.453	0.249	-0.051	2.118	2.115	-0.107	-0.046	2.292	2.290	-0.105
0.080	2.465	2.460	0.160	-0.051	2.118	2.115	-0.107	-0.046	2.291	2.289	-0.106
0.078	2.462	2.444	0.298	-0.051	2.117	2.115	-0.107	-0.046	2.292	2.290	-0.105
0.078	2.462	2.444	0.298	-0.051	2.117	2.115	-0.107	-0.045	2.290	2.288	-0.104
0.085	2.472	2.460	0.240	-0.050	2.117	2.115	-0.107	-0.046	2.296	2.294	-0.105
0.086	2.476	2.474	0.081	-0.051	2.116	2.113	-0.107	-0.046	2.296	2.294	-0.105
0.086	2.476	2.474	0.081	-0.051	2.116	2.113	-0.107	-0.047	2.298	2.296	-0.107
0.069	2.469	2.469	0.003	-0.050	2.116	2.113	-0.107	-0.047	2.302	2.299	-0.108
0.052	2.468	2.466	0.106	-0.050	2.116	2.113	-0.107	-0.047	2.294	2.291	-0.108
0.052	2.468	2.466	0.106	-0.050	2.116	2.113	-0.107	-0.047	2.293	2.291	-0.107
0.047	2.468	2.463	0.159	-0.050	2.116	2.113	-0.107	-0.046	2.293	2.291	-0.106
0.037	2.490	2.483	0.182	-0.050	2.116	2.113	-0.107	-0.046	2.297	2.295	-0.106
0.040	2.483	2.478	0.167	-0.050	2.116	2.113	-0.107	-0.046	2.303	2.301	-0.106
0.055	2.479	2.472	0.190	-0.050	2.116	2.113	-0.107	-0.046	2.301	2.299	-0.105
0.055	2.479	2.472	0.190	-0.050	2.116	2.113	-0.107	-0.046	2.300	2.298	-0.106
0.090	2.460	2.442	0.301	-0.051	2.116	2.114	-0.107	-0.046	2.298	2.296	-0.105
0.090	2.460	2.442	0.301	-0.051	2.116	2.114	-0.107	-0.045	2.288	2.286	-0.104
0.103	2.456	2.444	0.246	-0.051	2.117	2.114	-0.107	-0.046	2.285	2.283	-0.105
0.101	2.462	2.457	0.153	-0.053	2.117	2.114	-0.112	-0.048	2.290	2.287	-0.111
0.101	2.465	2.460	0.161	-0.053	2.117	2.114	-0.112	-0.048	2.292	2.289	-0.111
0.098	2.472	2.468	0.140	-0.055	2.118	2.114	-0.117	-0.051	2.296	2.293	-0.117
0.094	2.475	2.469	0.172	-0.055	2.118	2.114	-0.117	-0.050	2.299	2.296	-0.116
0.092	2.478	2.472	0.171	-0.055	2.118	2.114	-0.117	-0.051	2.301	2.298	-0.117
0.087	2.469	2.467	0.101	-0.055	2.118	2.114	-0.117	-0.051	2.294	2.291	-0.117
0.079	2.466	2.465	0.061	-0.055	2.117	2.114	-0.117	-0.051	2.292	2.289	-0.117
0.070	2.464	2.463	0.059	-0.055	2.117	2.114	-0.117	-0.051	2.291	2.288	-0.117
0.057	2.473	2.472	-0.022	-0.055	2.117	2.114	-0.117	-0.051	2.296	2.293	-0.118
0.047	2.486	2.486	0.002	-0.055	2.117	2.114	-0.117	-0.052	2.306	2.303	-0.119
0.025	2.489	2.489	-0.037	-0.055	2.117	2.114	-0.117	-0.052	2.306	2.303	-0.120
0.017	2.483	2.483	-0.019	-0.055	2.117	2.114	-0.117	-0.052	2.304	2.301	-0.119
0.010	2.484	2.483	0.060	-0.055	2.117	2.114	-0.117	-0.051	2.304	2.301	-0.118
0.004	2.475	2.475	-0.054	-0.055	2.117	2.114	-0.117	-0.052	2.298	2.295	-0.119
-0.004	2.468	2.468	-0.024	-0.055	2.117	2.113	-0.117	-0.051	2.294	2.291	-0.118
-0.004	2.469	2.469	-0.037	-0.053	2.115	2.112	-0.112	-0.051	2.293	2.290	-0.118
-0.004	2.469	2.469	-0.037	-0.053	2.115	2.112	-0.112	-0.049	2.294	2.291	-0.113
-0.002	2.474	2.474	0.042	-0.053	2.115	2.112	-0.112	-0.049	2.297	2.294	-0.113
-0.000	2.481	2.481	0.026	-0.052	2.114	2.111	-0.110	-0.048	2.302	2.299	-0.111
0.003	2.475	2.474	0.071	-0.052	2.114	2.111	-0.110	-0.048	2.298	2.295	-0.110
0.022	2.458	2.453	0.148	-0.052	2.114	2.111	-0.110	-0.046	2.290	2.288	-0.106
0.022	2.458	2.453	0.148	-0.052	2.114	2.111	-0.110	-0.048	2.286	2.283	-0.109
0.027	2.466	2.463	0.125	-0.052	2.114	2.111	-0.110	-0.048	2.292	2.289	-0.110
0.033	2.478	2.476	0.099	-0.052	2.114	2.111	-0.110	-0.048	2.300	2.297	-0.110
0.039	2.474	2.471	0.137	-0.054	2.115	2.111	-0.115	-0.050	2.297	2.294	-0.115
0.047	2.469	2.458	0.235	-0.054	2.115	2.111	-0.115	-0.050	2.294	2.291	-0.114
0.057	2.473	2.453	0.313	-0.055	2.116	2.113	-0.117	-0.050	2.297	2.294	-0.115
0.069	2.477	2.455	0.329	-0.055	2.116	2.113	-0.117	-0.050	2.300	2.297	-0.115
0.078	2.481	2.473	0.193	-0.054	2.116	2.113	-0.115	-0.050	2.302	2.299	-0.114
0.078	2.471	2.465	0.173	-0.052	2.115	2.113	-0.110	-0.050	2.300	2.297	-0.115
0.078	2.471	2.465	0.173	-0.052	2.115	2.113	-0.110	-0.048	2.296	2.293	-0.109
0.078	2.463	2.459	0.131	-0.052	2.116	2.113	-0.110	-0.048	2.290	2.287	-0.109
0.079	2.462	2.460	0.088	-0.052	2.116	2.113	-0.110	-0.048	2.289	2.286	-0.110
0.073	2.459	2.459	0.045	-0.051	2.116	2.113	-0.108	-0.047	2.289	2.286	-0.107
0.073	2.459	2.459	0.045	-0.051	2.116	2.113	-0.108	-0.047	2.288	2.285	-0.108
0.052	2.478	2.477	0.070	-0.050	2.136	2.133	-0.108	-0.047	2.298	2.295	-0.109
0.046	2.472	2.467	0.158	-0.050	2.136	2.133	-0.108	-0.046	2.302	2.300	-0.106
0.047	2.482	2.469	0.250	-0.050	2.136	2.133	-0.108	-0.046	2.309	2.307	-0.106
0.054	2.476	2.459	0.289	-0.051	2.135	2.132	-0.108	-0.046	2.305	2.303	-0.105
0.056	2.474	2.465	0.212	-0.051	2.135	2.132	-0.108	-0.046	2.303	2.301	-0.106
0.055	2.471	2.470	0.071	-0.050	2.135	2.132	-0.108	-0.046	2.301	2.299	-0.106
0.058	2.474	2.467	0.194	-0.053	2.135	2.132	-0.113	-0.047	2.302	2.299	-0.108
0.067	2.485	2.479	0.177	-0.053	2.135	2.132	-0.113	-0.048	2.307	2.304	-0.111
0.067	2.485	2.479	0.177	-0.053	2.135	2.132	-0.113	-0.048	2.312	2.309	-0.112
0.070	2.483	2.476	0.194	-0.053	2.135	2.132	-0.113	-0.048	2.310	2.307	-0.111
0.068	2.483	2.470	0.253	-0.052	2.154	2.151	-0.113	-0.048	2.316	2.313	-0.110
0.062	2.482	2.477	0.147	-0.052	2.154	2.151	-0.113	-0.048	2.315	2.312	-0.111
0.058	2.476	2.471	0.147	-0.052	2.154	2.151	-0.113	-0.048	2.311	2.308	-0.111
0.055	2.478	2.476	0.100	-0.052	2.154	2.151	-0.113	-0.048	2.312	2.309	-0.112
0.057	2.475	2.473	0.109	-0.052	2.151	2.148	-0.113	-0.048	2.310	2.307	-0.111
0.062	2.467	2.455	0.249	-0.050	2.151	2.148	-0.108	-0.046	2.304	2.302	-0.106
0.067	2.473	2.469	0.155	-0.050	2.151	2.148	-0.108	-0.046	2.305	2.303	-0.106
0.067	2.473	2.469	0.155	-0.050	2.151	2.148	-0.108	-0.046	2.305	2.303	-0.106
0.062	2.483	2.483	0.050	-0.051	2.130	2.127	-0.108	-0.047	2.304	2.301	-0.108
0.062	2.483	2.483	0.050	-0.051	2.130	2.127	-0.108	-0.047	2.309	2.306	-0.109
0.059	2.473	2.468	0.157	-0.051	2.110	2.107	-0.108	-0.047	2.295	2.292	-0.108
0.059	2.462	2.460	0.095	-0.051	2.110	2.107	-0.108	-0.047	2.287	2.284	-0.108
0.056	2.454	2.454	0.026	-0.051	2.108	2.106	-0.107	-0.047	2.282	2.279	-0.108
0.054	2.456	2.455	0.048	-0.051	2.107	2.104	-0.107	-0.047	2.282	2.279	-0.108
0.051	2.459	2.456	0.137	-0.051	2.107	2.104	-0.107	-0.047	2.285	2.282	-0.107
0.048	2.463	2.458	0.161	-0.050	2.107	2.104	-0.106	-0.046	2.287	2.285	-0.106
0.039	2.490	2.490	0.065	-0.052	2.066	2.063	-0.107	-0.046	2.295	2.293	-0.106
0.041	2.486	2.479	0.184	-0.052	2.066	2.063	-0.107	-0.048	2.290	2.287	-0.109
0.042	2.486	2.485	0.067	-0.052	2.066	2.063	-0.107	-0.048	2.290	2.287	-0.110
0.044	2.487	2.486	0.033	-0.051	2.065	2.063	-0.106	-0.048	2.290	2.287	-0.109
0.047	2.475	2.470	0.167	-0.051	2.065	2.063	-0.106	-0.047	2.283	2.280	-0.107
0.053	2.486	2.481	0.160	-0.051	2.065	2.063	-0.106	-0.047	2.290	2.287	-0.108
0.058	2.468	2.462	0.173	-0.051	2.065	2.063	-0.106	-0.047	2.281	2.278	-0.107
0.058	2.468	2.462	0.173	-0.051	2.065	2.063	-0.106	-0.047	2.278	2.275	-0.107
0.058	2.474	2.470	0.131	-0.051	2.065	2.063	-0.106	-0.047	2.281	2.278	-0.108
0.056	2.484	2.483	0.035	-0.050	2.106	2.103	-0.106	-0.047	2.301	2.298	-0.108
0.052	2.484	2.483	0.083	-0.050	2.106	2.103	-0.106	-0.047	2.300	2.298	-0.107
0.056	2.466	2.453	0.259	-0.050	2.106	2.104	-0.106	-0.047	2.300	2.298	-0.107
0.056	2.466	2.453	0.259	-0.050	2.106	2.104	-0.106	-0.046	2.294	2.292	-0.105
0.056	2.470	2.464	0.171	-0.050	2.106	2.104	-0.106	-0.046	2.291	2.289	-0.106
0.052	2.486	2.485	0.068	-0.050	2.106	2.104	-0.106	-0.046	2.302	2.300	-0.107
0.049	2.490	2.486	0.131	-0.050	2.106	2.104	-0.106	-0.046	2.304	2.302	-0.107
0.047	2.490	2.487	0.119	-0.050	2.106	2.104	-0.106	-0.046	2.304	2.302	-0.107
0.055	2.474	2.469	0.155	-0.050	2.106	2.103	-0.106	-0.046	2.300	2.298	-0.106
