phi_u	d_u	x_u	y_u	phi_v	d_v	x_v	y_v	phi_f	d_f	x_f	y_f
-1.039	0.979	0.459	-0.865	-0.146	0.696	0.688	-0.101	-1.177	0.881	0.338	-0.814
-1.047	0.989	0.423	-0.894	-0.146	0.696	0.688	-0.101	-1.224	0.895	0.304	-0.842
-1.052	0.978	0.404	-0.891	-0.146	0.696	0.688	-0.101	-1.242	0.886	0.286	-0.839
-1.057	0.987	0.404	-0.901	-0.146	0.696	0.688	-0.101	-1.246	0.896	0.286	-0.849
-1.060	0.979	0.496	-0.843	-0.150	0.696	0.688	-0.104	-1.131	0.876	0.373	-0.793
-1.053	0.967	0.517	-0.817	-0.150	0.696	0.688	-0.104	-1.099	0.862	0.392	-0.768
-1.056	0.965	0.489	-0.831	-0.151	0.694	0.686	-0.104	-1.133	0.863	0.366	-0.781
-1.095	0.970	0.363	-0.899	-0.152	0.696	0.688	-0.105	-1.312	0.887	0.227	-0.857
-1.113	0.969	0.435	-0.866	-0.152	0.696	0.688	-0.105	-1.202	0.874	0.315	-0.815
-1.124	0.977	0.361	-0.908	-0.152	0.696	0.688	-0.105	-1.291	0.890	0.246	-0.855
-1.130	0.986	0.355	-0.920	-0.164	0.697	0.688	-0.114	-1.301	0.900	0.240	-0.867
-1.151	0.999	0.122	-0.991	-0.164	0.697	0.688	-0.114	-1.548	0.936	0.021	-0.936
-1.166	1.007	0.288	-0.965	-0.179	0.699	0.688	-0.125	-1.379	0.928	0.177	-0.911
-1.184	0.976	0.481	-0.849	-0.186	0.700	0.688	-0.129	-1.193	0.895	0.330	-0.832
-1.187	0.969	0.502	-0.829	-0.186	0.700	0.688	-0.129	-1.120	0.867	0.378	-0.780
-1.180	0.969	0.464	-0.851	-0.188	0.700	0.687	-0.131	-1.167	0.870	0.342	-0.800
-1.167	0.968	0.532	-0.809	-0.188	0.700	0.687	-0.131	-1.080	0.862	0.406	-0.760
-1.150	0.977	0.524	-0.824	-0.188	0.700	0.687	-0.131	-1.095	0.872	0.399	-0.775
-1.126	0.963	0.400	-0.876	-0.188	0.700	0.687	-0.131	-1.241	0.871	0.282	-0.824
-1.106	0.963	0.348	-0.898	-0.188	0.700	0.687	-0.131	-1.302	0.877	0.233	-0.845
-1.077	0.958	0.448	-0.847	-0.188	0.700	0.687	-0.131	-1.181	0.861	0.327	-0.796
-1.056	0.962	0.555	-0.785	-0.188	0.704	0.692	-0.132	-1.046	0.852	0.427	-0.737
-1.041	0.966	0.591	-0.764	-0.188	0.704	0.692	-0.132	-1.000	0.853	0.461	-0.718
-1.034	0.969	0.507	-0.826	-0.187	0.708	0.696	-0.132	-1.113	0.866	0.383	-0.777
-1.025	0.968	0.563	-0.787	-0.187	0.708	0.696	-0.132	-1.039	0.858	0.435	-0.740
-1.021	0.976	0.533	-0.817	-0.187	0.708	0.696	-0.132	-1.083	0.869	0.407	-0.768
-1.022	0.994	0.509	-0.853	-0.187	0.708	0.696	-0.132	-1.124	0.891	0.385	-0.803
-1.019	0.989	0.529	-0.836	-0.187	0.708	0.696	-0.132	-1.097	0.885	0.404	-0.787
-1.012	0.989	0.500	-0.852	-0.187	0.708	0.696	-0.132	-1.131	0.886	0.377	-0.802
-1.015	0.993	0.299	-0.947	-0.186	0.708	0.696	-0.131	-1.363	0.913	0.188	-0.893
-1.048	0.990	0.295	-0.945	-0.186	0.708	0.696	-0.131	-1.367	0.910	0.184	-0.891
-1.089	0.981	0.130	-0.973	-0.186	0.704	0.692	-0.130	-1.540	0.918	0.028	-0.918
-1.115	0.977	0.376	-0.902	-0.186	0.704	0.692	-0.130	-1.274	0.888	0.260	-0.849
-1.129	0.979	0.575	-0.792	-0.186	0.699	0.687	-0.129	-1.082	0.873	0.410	-0.771
-1.129	0.979	0.575	-0.792	-0.186	0.699	0.687	-0.129	-1.030	0.869	0.447	-0.745
-1.120	0.985	0.502	-0.847	-0.184	0.699	0.687	-0.128	-1.048	0.881	0.440	-0.763
-1.120	0.985	0.502	-0.847	-0.184	0.699	0.687	-0.128	-1.128	0.882	0.378	-0.797
-1.122	0.986	0.507	-0.845	-0.185	0.704	0.692	-0.129	-1.122	0.882	0.383	-0.795
